scene_name_zh,scene_name_en,industry_code,industry_chain,process_step,scene_description,selection_rationale,source_major_code,source_major_name,labor_urgency_score,labor_urgency_basis,scale_potential_score,scale_potential_basis,superhuman_value_score,superhuman_value_basis,operation_complexity_score,operation_complexity_basis,structure_level_score,structure_level_basis,fault_tolerance_score,fault_tolerance_basis,takt_pressure_score,takt_pressure_basis
操作调节-通风设施-风门风窗,Operation-VentilationFacility-AirDoorDamper,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,通风排水,该工位分布于井下各通风设施处，包括风门、风窗、调节风门等，与矿井通风系统整体布局相关。当前由通风工根据调度指令到现场操作风门开闭、调节风窗开度，部分风门需人工推拉、风窗需旋转手轮。风门一般高2米、宽1.5-2米，手轮直径20-30厘米。典型配置为每班1-2名通风工负责某区域通风设施调节，单次操作耗时3-10分钟。该工位问题是风门开闭不及时导致风流短路、调节精度依赖工人经验、远距离调度增加工人井下滞留时间。,通风设施操作界面为人手设计，需操作手轮和推拉风门（入口一-工具适配）；井下瓦斯环境人员应减少滞留（入口二）；可通过遥操作实现远程调度（入口七）。,6,煤炭开采和洗选业,4,通风调节需及时响应，人员到达现场存在时间延迟,4,每座矿井数十至上百道风门，全国以十万计,4,命中V1全时响应、V2一致性、V5操作数据记录、V6风量传感,3,涉及手轮旋拧和风门推拉，需中等力控,4,风门位置固定，操作界面标准化,3,操作失误需重新调节，短时影响局部风流,4,需响应调度指令，但非严格节拍约束
操作调节-重介系统-密度控制,Operation-DenseMediaSystem-DensityControl,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,洗选加工,该工位位于重介洗选系统控制区，与重介旋流器和介质循环系统相连。当前由重介操作工根据煤质变化和密度仪读数，调节介质添加阀门和分流阀门，控制分选密度在设定范围内。操作涉及多个手动阀门和调节旋钮，需根据煤质波动及时响应。典型配置为每班1-2人负责重介系统操作，持续观察和调节。该工位问题是密度波动导致分选效果不稳定、人工响应存在滞后、调节经验难以量化传承。,重介密度控制是洗选工艺核心，数据需完整追溯（入口五）；需长时间持续监控人易疲劳（入口四）；阀门操作为人手设计（入口一）。,6,煤炭开采和洗选业,3,重介操作技能要求较高，需一定培训周期,3,每座重介选煤厂1-2套系统，全国约1500座,4,命中V1全时响应、V2一致性、V5工艺数据、V6密度传感融合,3,涉及多阀门协调调节，需中等精度,4,设备布局固定，操作界面标准化,3,调节失误导致短时分选效果下降，可及时纠正,3,需及时响应煤质变化，有一定时效要求
检测巡查-井下变电所-电气安全,Inspection-UndergroundSubstation-ElectricalSafety,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,采掘作业,该工位位于井下各级变电所，为采掘设备供电的关键节点。当前由电工定时巡检变压器、开关柜、电缆接头状态，检查内容包括温度、异响、绝缘状态、接地可靠性。变电所空间紧凑，开关柜操作面板需精确操作。典型配置为每班1人负责2-3个变电所，单个变电所巡检耗时20-30分钟。该工位问题是电气设备故障可能导致全矿停电或电气火灾、瓦斯环境下电气故障风险高、人员触电风险。,井下变电所在瓦斯环境中，电气故障可能引发爆炸（入口二）；设备操作界面为人手设计（入口一）；电气运行数据有强制追溯要求（入口五）。,6,煤炭开采和洗选业,5,井下带电作业存在触电和爆炸双重风险,4,每座矿井多个井下变电所，全国以万计,5,命中V1全时、V2一致性、V5电气数据、V6红外测温、V7故障数据,3,涉及开关操作和仪表读数，需精确定位,5,变电所布局固定，开关柜位置标准化,2,误操作可能导致停电或设备损坏,5,按固定频次巡检，无节拍压力
检测维护-支护设备-锚杆锚索,Inspection-SupportEquipment-RoofBoltCable,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,采掘作业,该工位位于采掘巷道支护区域，与采掘工作面推进方向相关。当前由支护检查工对已施工的锚杆锚索进行拉拔力抽检、托盘紧固度检查、外露长度测量。检查位置分布于顶板和两帮，部分需高举检测工具。典型配置为每班1-2人负责新施工区域抽检，单根检测耗时2-5分钟。该工位问题是顶板区域检测存在落物砸伤风险、检测覆盖率受人力限制、数据记录依赖手工。,顶板作业区存在落物风险（入口二延伸）；支护质量数据是安全生产的关键追溯项（入口五）；检测漏项可补检（入口三）。,6,煤炭开采和洗选业,4,顶板作业存在落物砸伤风险，已有工伤案例,4,每座矿井大量支护点位，全国以百万计,4,命中V1全时覆盖、V2检测一致、V5支护数据、V6力矩传感,3,涉及检测工具操作和顶板区域作业,3,巷道布局固定但支护点分布变化,4,单点漏检可补检，不造成直接后果,4,按施工进度配合抽检，有弹性
检测读数-瓦斯传感器-定点抄录,SensorReading-GasDetector-FixedPointRecording,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,通风排水,该工位分布于井下各通风监测点，与主通风系统和采掘工作面相关联。当前由瓦斯检测员人工定时到各监测点读取瓦斯浓度、一氧化碳浓度、温度等数值并记录。每个监测点需读取3-5个传感器数值，部分传感器位于巷道顶部需仰视读数。典型配置为每班1名瓦斯员负责20-30个监测点，单点读数耗时2-3分钟。该工位问题是传感器显示屏在粉尘环境下易模糊、人工记录存在转录错误、检测频次受人力限制无法实现连续监测。,瓦斯监测数据属于煤矿安全法规强制要求的可追溯记录（入口五）；高瓦斯区域人员暴露时间应尽量减少（入口二）；单次漏读可补录（入口三）。,6,煤炭开采和洗选业,5,瓦斯超限区域人员滞留即存在爆炸风险,5,每座矿井数十至上百个监测点，全国以十万计,5,命中V1全时、V2一致性、V5过程数据、V6多传感融合、V7失败记录,1,纯读数任务，无物理操作,4,监测点位置固定，传感器安装位置标准化,5,漏读一次下轮补上，不影响安全监控系统整体运行,5,按规定频次完成即可，无产线节拍约束
检测采样-石煤开采-粉尘监测,Sampling-StoneCoolMining-DustMonitoring,6-69-690,地质勘探→矿井建设→采掘作业→运输→破碎筛分→仓储→装车外运,采掘作业,该工位位于石煤开采区和加工区，石煤灰分高粉尘问题突出。当前由安全员定时在各作业点采集粉尘样品、测量粉尘浓度，评估职业健康风险。采样点分布于采掘面、破碎站、皮带转载点等。典型配置为每班1人负责多点采样，单点耗时10-15分钟。该工位问题是采样人员本身暴露在粉尘环境中、采样频次受人力限制、数据代表性受采样时机影响。,粉尘环境对人体健康有害（入口二）；粉尘监测数据是职业健康法规要求（入口五）；采样一致性影响数据质量（入口四）。,6,煤炭开采和洗选业,4,石�ite粉尘危害高，采样人员职业暴露风险大,2,石煤开采规模较小，主要分布在南方部分省份,4,命中V1全时、V2采样一致、V5监测数据、V6粉尘传感,2,涉及采样器操作和定点放置,3,采样点固定但环境多变,5,单次采样失败可重做,5,按法规频次采样即可
点检维护-井下机电设备-多工位巡回,EquipmentInspection-UndergroundMachinery-MultiStationPatrol,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,运输提升,该工位覆盖井下主要机电设备分布区，包括皮带机头、绞车房、变电所、水泵房等。当前由机电维护工人工巡检，检查内容包括设备运行声音、温度、振动、油位、仪表读数，发现异常需操作阀门或开关进行调整。巡检路线涉及多个机电硐室，需穿越狭窄通道和爬行台阶。典型配置为每班2名机电工负责15-25台关键设备，单台设备点检耗时5-10分钟。该工位问题是老师傅凭听声辨故障的经验难以传承、夜班疲劳导致点检流于形式、设备突发故障预警不及时。,井下机电硐室空间为人体设计，设备操作界面按人手尺寸设计（入口一）；设备巡检数据用于预防性维护分析有追溯需求（入口五）；需在多个工位间移动执行不同任务（入口一-多工位切换）。,6,煤炭开采和洗选业,4,机电维护工招工难、培养周期长，经验传承断层严重,5,每座矿井数十台关键机电设备，全国同类工位数以万计,5,命中V1全时、V2一致性、V5过程数据、V6超人感知(振动温度)、V7失败数据,3,涉及阀门旋拧、开关操作，需毫米级定位,4,机电硐室布局固定，设备位置稳定,4,单次点检遗漏可下轮补上，不造成设备损伤,5,按规定频次完成即可，非产线节拍约束
采样检测-原煤煤质-定点取样,Sampling-RawCoalQuality-FixedPointCollection,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,洗选加工,该工位位于原煤入选前的采样点，上游为原煤皮带，下游为洗选车间。当前由采样工在皮带运行中用采样铲从煤流中定点取样，按规定时间间隔和部位采集样品装入样袋并标记。采样铲重约2-3公斤，每次取样量约0.5-1公斤，采样频次为每小时2-4次。典型配置为每班1人负责1-2个采样点，单次采样耗时5-10分钟。该工位问题是人工采样代表性受主观影响、粉尘环境职业健康风险、采样时间点难以精确控制。,煤质采样数据是洗选工艺调整和计价结算的依据，需严格追溯（入口五）；粉尘环境人员健康风险高（入口二）；采样一致性影响数据代表性（入口四）。,6,煤炭开采和洗选业,4,粉尘浓度高，长期作业易导致尘肺病,4,每座选煤厂多个采样点，全国选煤厂约2000座,4,命中V1全时、V2采样一致性、V5采样记录、V6煤流状态检测,3,需在运动煤流中定点取样，涉及力控和时机把握,4,采样点位置固定，煤流方向稳定,4,单次取样失败可重试，不影响煤流运行,4,按规定频次采样，但时间窗口有弹性
井口清蜡-抽油井-定期热洗作业,WellheadDewaxing-PumpingWell-PeriodicHotWashOperation,7-00-711,勘探测量→钻井作业→完井作业→采油采气→油气处理→储运→设备维护→安全监控,设备维护,该工位位于各抽油井井口，上游为采油系统运行，下游为保持正常产液量。当前由操作工将热洗车的高温管线接入井口，打开相关阀门进行热洗清蜡，作业过程中监控压力和温度。核心操作为连接高温软管与井口接头（快接或法兰）、开关阀门控制热洗流程、监控仪表确保参数安全。典型配置为每班组2人操作热洗车，每日作业3-5口井，单井作业耗时1-2小时。常见问题包括高温介质烫伤风险、压力失控导致泄漏喷溅、偏远井场作业效率低。,命中入口二（高温介质接触烫伤风险）、入口一（工具适配连接管线和操作阀门）、入口一（双臂协作连接作业）、入口八（抽油井众多需定期清蜡）。,7,石油和天然气开采业,4,高温介质烫伤风险，偏远井场作业条件艰苦,5,高蜡油田每口井定期清蜡，井数以万计,3,命中V1定时作业、V2操作一致性、V5作业记录,3,管线连接和阀门操作需定位和力控,3,井口布局固定但各井略有差异,3,连接泄漏需停机处理,4,有作业效率要求但窗口宽裕
修井作业-井下工具-地面组装连接,WorkoverOperation-DownholeTools-SurfaceAssemblyConnection,7-71-00,勘探测量→钻井作业→完井作业→采油采气→油气处理→储运→设备维护→安全监控,设备维护,该工位位于修井作业井场的地面操作区，上游为井下工具准备，下游为下入井内。当前由修井工在地面对各类井下工具进行组装连接，包括配水器、封隔器、油管挂等，需对丝扣涂抹密封脂后紧固。核心操作为工具对接、丝扣涂脂、使用链钳或液压钳紧固（扭矩要求100-500Nm不等），单根工具重量10-50kg需配合吊装定位。典型配置为每班组4-6人，单次工具组装耗时5-15分钟，单井修井作业需组装工具数十件。常见问题包括丝扣连接不合格导致井下落鱼、扭矩不足导致泄漏、重物操作致人受伤。,命中入口一（双臂协作进行工具对接和紧固）、入口一（工具适配使用链钳液压钳）、入口五（扭矩数据需记录追溯）、入口二（重物高风险作业）。,7,石油和天然气开采业,4,重物操作砸伤风险高，连接失败导致落井事故,4,每口井年均修井1-2次，全国油井数十万口,4,命中V2扭矩一致性、V5连接记录追溯、V6扭矩力觉、V7失败模式记录,4,对扣定位、涂脂、紧固需协调配合,3,作业区布局相对固定但工具多样,3,连接失败可重做，但发现需检测,4,有作业效率要求但非秒级节拍
储罐巡检-原油罐区-外观及附件检查,TankInspection-CrudeOilTankFarm-ExteriorAndAccessoryCheck,7-71-00,勘探测量→钻井作业→完井作业→采油采气→油气处理→储运→设备维护→安全监控,储运,该工位位于原油储罐区，覆盖罐体外壁、罐顶、附件阀门、呼吸阀、消防设施等。当前由巡检员沿罐区道路和爬梯巡查，检查罐体腐蚀泄漏、呼吸阀状态、液位计读数、消防系统完好性。核心操作为目视检查、攀爬罐顶梯子（高度10-20米）、读取液位计和仪表。典型配置为每班2人负责罐区，单次全区巡检耗时2-4小时，每日2-3轮。常见问题包括高处坠落风险、雷雨天气停止巡检、罐区可燃气体积聚风险、人工读数误差导致库存偏差。,命中入口一（空间适配需爬梯登高）、入口二（可燃气体积聚区域）、入口三（巡检漏项可补检）、入口五（库存数据和安全检查需记录）。,7,石油和天然气开采业,4,罐区易燃易爆，高处作业坠落风险高,5,油田及炼厂罐区众多，每区数十座罐,5,命中V1全时在线、V2读数一致、V4数据共享、V5追溯记录、V6红外测温、V7失败记录,2,目视检查和仪表读数，爬梯行走,4,罐区布局固定，设备位置确定,5,漏检可下轮补上，不造成即时影响,5,无节拍要求，按巡检周期执行
加药装置操作-油田化学剂-定量添加,ChemicalDosingOperation-OilfieldChemicals-QuantitativeAddition,7-71-00,勘探测量→钻井作业→完井作业→采油采气→油气处理→储运→设备维护→安全监控,油气处理,该工位位于各处理站的加药间，上游为药剂储存，下游为生产流程。当前由操作员负责缓蚀剂、破乳剂、阻垢剂等化学药剂的定期添加，包括检查药剂液位、调节加药泵流量、更换空桶、记录加药量。核心操作为阀门开关、泵流量旋钮调节、药桶搬运更换（单桶重约20-25kg）、液位读数。典型配置为每班1人负责数个加药点，单点操作耗时10-20分钟，每日操作数次。常见问题包括化学品接触伤害皮肤眼睛、加药量不准确影响处理效果、药桶搬运劳动强度大。,命中入口二（化学品接触对人有腐蚀刺激）、入口一（工具适配操作阀门和调节旋钮）、入口四（定量加注需一致性）、入口五（加药量需记录追溯）。,7,石油和天然气开采业,4,化学药剂具有腐蚀性刺激性，需防护作业,4,所有处理站均需化学加药,4,命中V1定时执行、V2加药量一致、V5加药记录、V6液位感知、V7异常记录,3,阀门和旋钮操作，药桶更换需搬运,4,加药间布局固定，设备位置确定,4,加药偏差可调整，不造成即时损失,4,有加注周期要求但窗口宽裕
压缩机巡检-天然气处理站-振动温度监测,CompressorInspection-NaturalGasProcessingStation-VibrationTemperatureMonitoring,7-72-00,气田勘探→钻井完井→采气作业→气液分离→脱水脱硫→压缩增压→管输外销→设备维护→安全监控,设备维护,该工位位于天然气处理站的压缩机厂房，上游为脱水脱硫后的天然气，下游为管输系统。当前由维护人员使用便携式振动仪和红外测温枪对压缩机组各测点进行定期监测，包括轴承座、联轴器、电机端盖等关键部位。核心操作为将振动传感器贴合测点表面采集数据，用测温枪瞄准目标读取温度，单台压缩机测点约20-30个。典型配置为每班1-2人负责数台压缩机组，单台监测耗时15-30分钟，每日监测1-2轮。常见问题包括测点位置偏移导致趋势分析不准、高温高噪环境缩短作业时间、人为记录错误。,命中入口一（工具适配使用手持仪器）、入口四（重复采集易产生位置偏移）、入口五（振动趋势数据需长期追溯）、入口六（振动温度可同步采集）。,7,石油和天然气开采业,3,压缩机房噪声超85dB，长时间作业影响听力,4,每座处理站数台压缩机，全国站点众多,5,命中V1连续监测、V2测点一致性、V3振动温度同步采集、V5趋势追溯、V6振动频谱分析、V7异常记录,3,传感器需贴合固定位置，保持稳定采集,4,压缩机位置固定，测点可预设标记,4,采集失败可重采，不影响设备运行,5,无节拍要求，按监测计划执行
