scene_name_zh,scene_name_en,industry_code,industry_chain,process_step,scene_description,selection_rationale,source_major_code,source_major_name,labor_urgency_score,labor_urgency_basis,scale_potential_score,scale_potential_basis,superhuman_value_score,superhuman_value_basis,operation_complexity_score,operation_complexity_basis,structure_level_score,structure_level_basis,fault_tolerance_score,fault_tolerance_basis,takt_pressure_score,takt_pressure_basis
成品码垛-卷烟件箱-标准托盘,Palletizing-CigaretteCartons-StandardPallet,16-162-1620,原料入库→制丝加工→加香加料→卷接成型→小盒包装→条盒包装→件箱包装→成品检测→成品入库,件箱包装,该工位位于件箱封箱机出口，上游为自动封箱机，下游为成品库暂存区。当前由人工或半自动设备将封箱后的卷烟件箱码垛至标准托盘，每箱重约20-25kg，单托盘码垛50-60箱。操作要求码垛整齐、层间交错、高度一致。典型配置每班2人，单箱码垛耗时5-8秒。问题为连续负重导致疲劳、码垛歪斜导致倒垛、品牌切换时托盘管理混乱。,重复性码垛导致疲劳和一致性下降，符合入口四；需在出箱口与多个托盘位间移动，符合入口一；规模化部署效益明显，符合入口八。,16,烟草制品业,3,日均码垛数千箱，长期导致腰部劳损,5,单厂2-6个码垛工位，全国卷烟厂以百计,3,V1全时在线+V2码垛一致性+V5托盘追溯,2,抓取放置，定位精度厘米级,4,出箱位固定，托盘位置标准化,4,放偏可调整，纸箱抗摔,3,需跟上出箱速度，约6-8秒/箱
成品搬运-卷烟成品库-多品牌分区,MaterialHandling-FinishedGoodsWarehouse-MultiBrand,16-162-1620,原料入库→制丝加工→加香加料→卷接成型→小盒包装→条盒包装→件箱包装→成品检测→成品入库,成品入库,该工位位于成品库区，上游为生产线码垛区，下游为发货月台。当前由叉车工配合人工将码垛后的托盘搬运至库区指定货位，并按品牌、批次进行分区存放。成品库通常为多层货架结构，需在多个通道间穿梭。典型配置每班2-4名叉车工加2-4名辅助工，单托盘入库耗时2-5分钟。问题为库位管理混乱导致错发、高层货架存取不便、夜班效率下降。,需在多个货架通道和层级间移动存取，符合入口一多工位切换；错存可重新调整，符合入口三高容错；过程追溯有合规要求，符合入口五。,16,烟草制品业,2,叉车作业为主，人工辅助负担适中,4,每厂1-2个成品库，行业规模大,4,V1全时运作+V2库位一致性+V4多机协同+V5全程追溯,2,托盘搬运放置，定位精度厘米级,3,货架固定，但库内有叉车和人员走动,4,放错库位可重新调整，不损物料,4,非产线直接约束，按批次入库
废料清理-制丝车间-烟末烟梗,WasteCleaning-ShredWorkshop-TobaccoDust,16-162-1620,原料入库→制丝加工→加香加料→卷接成型→小盒包装→条盒包装→件箱包装→成品检测→成品入库,制丝加工,该工位分布于制丝车间各设备周边，上下游为各制丝工序设备。当前由清洁工定时清理设备周边散落的烟末、烟梗等废料，使用扫帚、吸尘器等工具收集后装袋转运。烟末粉尘存在爆炸风险需防静电，环境中烟草气味浓重。典型配置每班1-2人，每班清理3-5次。问题为粉尘环境影响呼吸健康、清理不及时影响设备运行、死角区域难以覆盖。,粉尘环境需佩戴防护装备影响作业效率，符合入口二；需在多个设备间移动清理，符合入口一多工位切换；漏清可下轮补上，符合入口三。,16,烟草制品业,4,粉尘存在爆炸风险，需防静电防护装备,3,制丝车间通用，全行业卷烟厂适用,3,V1全时清理+V2清洁一致性+V6粉尘浓度监测,2,清扫吸尘装袋，动作简单,3,设备位置固定，但散落位置不定,5,漏清可下轮补上，无直接损失,5,按频次清理，无固定节拍
原料搬运-雪茄制造-烟叶片材,MaterialHandling-CigarMaking-TobaccoLeaf,16-169-1690,原料入库→烟叶发酵→烟叶分选→卷制成型→质量检测→包装入库,原料入库,该工位位于雪茄制造车间原料区，上游为发酵室，下游为分选工位。当前由人工将发酵后的烟叶片材从发酵室搬运至分选区暂存架，烟叶需轻拿轻放避免破损。单次搬运5-10kg烟叶，需注意保持温湿度。典型配置每班1-2人，单次搬运耗时2-5分钟。问题为发酵室温度高湿度大不宜久留、频繁进出导致效率低、搬运不当导致烟叶破损。,发酵室高温高湿环境人体不适，符合入口二；需在发酵室和分选区间多次往返，符合入口一多工位切换。,16,烟草制品业,3,发酵室环境潮热，需频繁进出休息,2,雪茄厂数量较少，单厂工位有限,2,V1可持续进出高温区+V5批次追溯,2,轻拿轻放搬运，需注意但不精密,3,路线固定，但烟叶位置有波动,3,搬运损伤有直接损失但单次较小,4,非连续产线，批次间有余量
成品包装-雪茄盒-精致装盒,Packaging-CigarBox-DelicatePacking,16-169-1690,原料入库→烟叶发酵→烟叶分选→卷制成型→质量检测→包装入库,包装入库,该工位位于雪茄包装区，上游为质量检测，下游为成品库。当前由人工将合格雪茄按规格放入木盒或纸盒，每盒装入定数雪茄并整齐排列，放入湿度调节片后封装。单盒装入耗时30-60秒，需保证排列整齐美观。典型配置每班2-4人，日均包装数百至数千盒。问题为重复性动作导致手部疲劳、排列不整齐影响产品形象、产品追溯依赖人工记录。,高重复性精细排列导致疲劳，符合入口四；产品追溯需要完整记录，符合入口五；操作与质检可合并，符合入口六。,16,烟草制品业,2,手工包装为传统特色，但重复性高,2,雪茄行业规模较小，单厂工位有限,3,V2排列一致性+V3包装与质检合并+V5单盒追溯,3,精细排列定位，需毫米级对齐,4,工位固定，盒和雪茄规格标准,4,排列不齐可重新调整，不损产品,4,非高速产线，单件可有调整时间
搬运码垛-棉包原料-200kg重载,Palletizing-CottonBales-200kgHeavyLoad,17-171-1711,原料入库→开清棉→梳棉→并条→粗纱→细纱→络筒→织造→坯布检验→染整→后整理→成品检验→包装出库,原料入库,该工位位于棉纺厂原料仓库与开清棉车间之间的物流通道入口处，上游为外部运输卸货区，下游为开清棉抓棉机投料口。当前由人工配合叉车执行，操作内容为将200kg级棉包从货车搬运至暂存区并按批次码垛，再根据生产计划将棉包搬运至投料区拆包投料。棉包尺寸约1.2m×0.8m×0.6m，重量180-220kg，外包装为编织袋或塑料膜，需双人协作搬运或使用吊具。该工位三班倒运转，每班2-3人，单包搬运耗时3-5分钟。该工位常见问题包括搬运工腰肌劳损高发、棉包码垛不整齐导致倒垛、不同批次棉花混批影响后续配棉精度。,符合入口一双臂协作（重载棉包需双人或双臂搬运）、入口三高容错（搬运失败可重试无物料损伤）、入口八规模化部署（单厂原料仓库可部署5-10台形成物流网络）。,17,纺织业,4,搬运工年流动率超40%，腰椎疾病为职业高发病种，招工持续困难,4,单厂原料仓库5-8个搬运工位，全国棉纺厂数千家，同类工位数以万计,3,命中V1全时在线、V4群体数据共享、V5过程数据沉淀（批次追溯）,2,自由空间运动加终端抓取放置，无精密接触要求，主要挑战为重载稳定性,3,仓库布局固定但棉包堆放位置有波动，叉车人员走动频繁,5,搬运失败可重试，棉包柔性材料不怕碰撞，无任何损失,4,按生产计划批量搬运，非产线节拍约束，余量充足
落纱换筒-细纱机锭位-多工位巡回,DoffingBobbin-RingSpinningFrame-MultiStationPatrol,17-171-1711,原料入库→开清棉→梳棉→并条→粗纱→细纱→络筒→织造→坯布检验→染整→后整理→成品检验→包装出库,细纱,该工位分布于细纱车间全部细纱机台的锭子区域，上游为粗纱工序供应粗纱，下游为络筒工序接收满筒管纱。当前由人工执行，操作内容为沿细纱机巡回监视各锭位纱线状态，识别满筒锭位后取下满筒管纱放入纱箱，同时换上空筒管并完成接头。细纱管直径约30mm，长度约200mm，重量约50-100g，需单手抓取插拔操作。该工位三班倒，每班每台细纱机1-2人负责500-1000锭位巡回，单锭落纱换筒耗时8-15秒。该工位常见问题包括人工巡回效率低导致满筒锭位等待过长影响产能、疲劳后漏检断头锭位造成空锭运转浪费、换筒接头质量不一致影响后续络筒效率。,符合入口一多工位切换（单人负责500-1000锭位巡回作业）、入口四注意力衰减（需持续监视大量锭位识别满筒和断头，疲劳后漏检率上升）、入口八规模化部署（单车间可部署多台机器人覆盖所有机台）。,17,纺织业,3,工作单调重复，年轻人不愿从事，年流动率约35%，需频繁培训新人,5,单厂细纱机数十台每台500-1000锭，全国棉纺产能巨大，同类工位以万计,4,命中V1全时在线、V2一致性输出、V4群体数据共享、V5过程数据沉淀、V6超人感知（视觉同步检测满筒和断头）,3,需毫米级定位插拔筒管并完成接头，接触状态转换2次,4,细纱机结构固定，锭位位置精确已知，仅有限巡检人员走动,4,单次落纱失败可重试，纱线断头可重新接头，无物料损伤,3,需在满筒后及时落纱否则影响产能，但有一定缓冲时间
巡检监测-织布机运行状态-断经断纬检测,PatrolInspection-LoomOperationStatus-WarpWeftBreakDetection,17-171-1712,原料入库→开清棉→梳棉→并条→粗纱→细纱→络筒→织造→坯布检验→染整→后整理→成品检验→包装出库,织造,该工位覆盖织布车间全部织机区域，上游为整经浆纱工序供应经轴，下游为坯布检验工序接收织成坯布。当前由挡车工人工巡回执行，操作内容为沿织机排列通道行走巡视，监听织机运转声音和观察织口状态，发现断经断纬后及时停机处理接头，记录停台次数和原因。织机噪音约85-95分贝，振动明显，需佩戴耳塞作业。该工位三班倒，每班每人负责8-16台织机巡回，单次断头处理耗时1-3分钟。该工位常见问题包括高噪音环境下人员听力损伤、疲劳后断头响应延迟导致织疵增加、停台原因记录不规范影响工艺改进。,符合入口二人类不宜长期到达（85-95分贝高噪音环境造成听力损伤）、入口三高容错（漏检可下轮补上）、入口四注意力衰减（需在高噪音中持续辨别异常）、入口五过程数据刚性需求（停台原因追溯对工艺改进至关重要）。,17,纺织业,4,高噪音环境需佩戴防护，长期作业听力损伤高发，年轻人不愿从事,5,单厂织布车间数十至数百台织机，全国织造产能巨大，同类工位以万计,5,命中V1全时在线、V2一致性、V4群体共享、V5过程数据、V6超人感知（声纹和振动分析）、V7失败数据价值,1,巡检为纯自由空间运动，断头处理可由人工接管或标记等待,4,织机位置固定，通道规整，仅挡车工走动,5,漏检一次断头可下轮发现，不造成不可逆后果,5,巡检无固定节拍，按频率要求覆盖即可
加料投放-染缸化学品-高温蒸汽环境,ChemicalDosing-DyeingVat-HighTempSteamEnvironment,17-171-1713,坯布入库→前处理(退浆/煮练/漂白)→染色→印花→后整理(定型/柔软)→成品检验→包装出库,染色,该工位位于染整车间染缸操作平台上方，上游为化料间配制好的染液和助剂，下游为染缸内进行的染色反应。当前由人工执行，操作内容为按工艺配方将称量好的染料、助剂、盐碱等化学品从桶装容器中取出并投入染缸进料口，操作过程中需开盖、搅拌、冲洗。染缸温度80-130℃，蒸汽外溢，部分染料和助剂有刺激性气味，需穿戴防护服和口罩。该工位白班为主，每班每组染缸1-2人，单缸加料操作耗时5-15分钟。该工位常见问题包括高温蒸汽烫伤风险、化学品吸入影响呼吸道健康、加料顺序或时机错误导致色差。,符合入口二人类不宜到达（80-130℃高温蒸汽、有毒化学品气体环境）、入口五过程数据刚性需求（染色配方和加料时序必须可追溯以保证色牢度和批次一致性）。,17,纺织业,5,高温蒸汽加化学品环境，烫伤和呼吸道疾病高发，属人类不宜到达场景,4,单厂染缸数十台，染整企业全国数千家，同类工位数以万计,4,命中V1全时在线、V2一致性、V5过程数据（配方追溯）、V6超人感知（温度pH实时监测）,3,需毫米级定位将化学品准确投入进料口，有轻度力控要求,4,染缸位置固定，操作平台结构化，物料摆放位置基本固定,2,加料顺序或剂量错误导致整缸布匹色差，损失数千至数万元,3,需在工艺规定时间窗口内完成加料，但窗口通常有数分钟余量
搬运码垛-坯布卷-百公斤级重载,Palletizing-GreigeFabricRolls-100kgHeavyLoad,17-171-1712,原料入库→开清棉→梳棉→并条→粗纱→细纱→络筒→织造→坯布检验→染整→后整理→成品检验→包装出库,坯布检验,该工位位于织造车间布卷暂存区与坯布检验工位之间，上游为织机下机的布卷，下游为验布机入布端。当前由人工配合小推车执行，操作内容为将50-150kg的坯布卷从织机落布区搬运至暂存架码垛，再根据检验计划将布卷搬运至验布机上料位。布卷直径约0.5-1.0m，长度1.5-2.0m，圆柱形易滚动，需双人协作或使用吊具。该工位三班倒，每班2-3人，单卷搬运耗时2-4分钟。该工位常见问题包括布卷滚落砸伤风险、码垛不整齐导致倒垛、布卷表面擦伤影响后续染整质量。,符合入口一双臂协作（重载圆柱形布卷需双臂稳定抱持）、入口三高容错（搬运失败可重试）、入口八规模化部署。,17,纺织业,4,重载搬运腰椎损伤高发，布卷滚落砸伤事故频发，年流动率超35%,4,单厂布卷暂存区3-5个搬运工位，全国织造企业数千家,3,命中V1全时在线、V4群体共享、V5过程数据（布卷批次追踪）,2,自由空间运动加终端抱持放置，需适应圆柱形物体但无精密要求,3,暂存区布局固定但布卷堆放位置有波动，人员推车走动频繁,4,搬运失败可重试，坯布有一定抗擦伤能力,4,按检验计划搬运，非严格节拍约束
验布检疵-坯布表面-高速连续检测,FabricInspection-GreigeClothSurface-HighSpeedContinuous,17-171-1712,原料入库→开清棉→梳棉→并条→粗纱→细纱→络筒→织造→坯布检验→染整→后整理→成品检验→包装出库,坯布检验,该工位位于织造车间出口处的验布机旁，上游为织机下机的坯布卷，下游为染整车间入库区。当前由验布工人工执行，操作内容为坐在验布机旁观察高速通过的布面，识别断经、断纬、油污、破洞、粗节等疵点并标记位置和类型，同时操作脚踏板控制验布机速度。验布速度20-40米/分钟，布幅1.5-2.5米，需持续高度集中注意力。该工位白班为主，每班每台验布机1人，单卷验布耗时15-30分钟。该工位常见问题包括眼睛疲劳导致漏检率上升、连续作业4小时后漏检率从2%升至10%以上、疵点标记不规范影响染整工艺调整。,符合入口四人类注意力衰减是核心痛点（高速布面检测对视觉持续集中要求极高，疲劳后漏检率显著上升）、入口六操作与检测合并（视觉检测与标记可同步完成）、入口五过程数据刚性需求（疵点数据对工艺改进至关重要）。,17,纺织业,4,视觉疲劳导致漏检率从2%升至10%以上，需设置复检岗位增加冗余人力,5,每条织造产线必备验布工位，全国验布工位数以十万计,5,命中V1全时在线、V2一致性输出、V3操作检测合并、V5过程数据、V6超人感知（高速视觉）、V7失败数据价值,2,视觉检测为主，标记动作为简单触发，无精密接触要求,5,验布机固定工位，布面平整展开，光照恒定可控,3,漏检疵点流入染整会放大缺陷，但可在后续检验发现,3,验布速度需匹配产线产能，但可通过调速适应
物料配送-印染助剂桶-车间多点巡回,MaterialDelivery-DyeingAuxiliaryBarrels-MultiPointPatrol,17-171-1713,坯布入库→前处理(退浆/煮练/漂白)→染色→印花→后整理(定型/柔软)→成品检验→包装出库,染色,该工位覆盖染整车间化料间到各染缸之间的物流通道，上游为化料间配制的各类染料和助剂，下游为分布在车间各处的染缸操作平台。当前由人工推车执行，操作内容为将20-50kg的助剂桶从化料间搬运至指定染缸工位，沿途经过蒸汽管道、染液溢流区等环境。车间湿度高达80%以上，地面湿滑，部分区域有化学品气味。该工位三班倒，每班2-3人负责全车间配送，单趟配送耗时5-10分钟。该工位常见问题包括湿滑地面滑倒风险、化学品泄漏接触皮肤、配送延误影响染色工艺窗口。,符合入口一多工位切换（需在化料间与多个染缸之间巡回配送）、入口二人类不宜长期到达（高湿度、化学品气体环境）、入口三高容错（配送失败可重新安排）。,17,纺织业,4,湿滑地面滑倒事故年均数起，化学品环境呼吸道投诉多，招工困难,4,单厂染整车间配送工位3-5个，全国染整企业数千家,3,命中V1全时在线、V4群体共享、V5过程数据（配送时效追踪）,2,推车搬运为主，终端放置无精密要求,3,车间通道固定但地面湿滑有积水，人员设备走动频繁,4,配送失败可重新安排，助剂桶有防泄漏设计,3,需在染色工艺窗口内完成配送，但通常有数分钟余量
印花操作-圆网印花机-刮刀调节,PrintingOperation-RotaryScreenMachine-SqueegeAdjustment,17-171-1713,坯布入库→前处理(退浆/煮练/漂白)→染色→印花→后整理(定型/柔软)→成品检验→包装出库,印花,该工位位于印花车间圆网印花机操作侧，上游为调浆间配制的印花色浆，下游为烘干定型工序。当前由印花技师人工执行，操作内容为观察印花效果实时调节刮刀压力、角度和圆网离布面间隙，根据花型变化更换圆网并重新对花。圆网直径约20-40cm，长度1.5-2.5m，重量约20-40kg，调节精度要求0.1mm级。该工位白班为主，每班每台印花机1-2人，单次调节耗时30-60秒，换网对花耗时10-20分钟。该工位常见问题包括刮刀调节依赖经验难以传承、对花精度不一致导致套色偏移、技师培训周期长达6-12个月。,符合入口七专家稀缺（印花技师需6-12个月培训，经验传承困难）、入口五过程数据刚性需求（调节参数需追溯以保证批次一致性）。,17,纺织业,3,技师培训周期长，熟练工流失后产品质量明显下降,3,单厂印花机3-10台，印花企业全国数千家,4,命中V2一致性输出、V4群体共享（技能快速复制）、V5过程数据、V6超人感知（精密位置检测）,4,需0.1mm级定位精度和精细力控，接触状态转换3-4次,4,印花机固定工位，调节部位位置固定，光照稳定,2,调节失误导致印花疵点，单批布匹损失数千至万元,3,印花机连续运转，调节需在数十秒内完成
