taxonomy_version,l1_id,l1_name_zh,l1_name_en,l1_description,l1_boundary,l2_id,l2_name_zh,l2_name_en,l2_description,l2_boundary_rule,control_type,typical_body_parts,industrial_examples,l3_naming_pattern
1.0,L1-02,躯体姿态调整,Trunk Postural Adjustment,以改变机器人躯干、腰部、腿部的空间构型为核心特征的运动模式，但不产生整体位置的显著平移。通过关节角度变化实现身体重心的垂直升降、前后偏移、左右倾斜或轴向旋转。这类动作的核心目的是调整身体工作姿势或维持外力作用下的平衡稳定。,判定归属L1-02的核心标准：动作执行期间双脚支撑位置基本不变（平移<10cm），但躯干构型发生显著改变。与L1-01的区别：L1-01要求支撑基底发生空间平移。与L1-03的区别：L1-02描述的是躯干和下肢的构型变化，L1-03描述的是上肢的空间运动。若一个动作同时涉及躯干调姿和上肢伸达（如弯腰拿地面物品），则拆分为L1-02弯腰+L1-03伸达两个原子动作。,L2-02-03,下蹲起立,Squatting and Rising,通过膝关节和髋关节的深度屈曲使身体重心大幅降低的运动，双脚保持在原位。与弯腰相比，重心下降更多且更稳定，适用于需要在低位长时间作业的场景。,与L2-02-02的区别：膝关节屈曲角度>90°归入下蹲。与L2-02-01的区别：下蹲的终态仍为双脚支撑（脚底未离开地面），站坐转换的终态有新的支撑面（如臀部坐在凳子上）。,力-位混合控制,全身/腿部/腰部,蹲下检查设备底部的轴承状态；在低位货架前蹲下取放物料；下蹲到机床导轨高度进行清洁,[蹲姿]-[深度]-[保持需求]，示例：蹲姿-全蹲-短时保持
1.0,L1-02,躯体姿态调整,Trunk Postural Adjustment,以改变机器人躯干、腰部、腿部的空间构型为核心特征的运动模式，但不产生整体位置的显著平移。通过关节角度变化实现身体重心的垂直升降、前后偏移、左右倾斜或轴向旋转。这类动作的核心目的是调整身体工作姿势或维持外力作用下的平衡稳定。,判定归属L1-02的核心标准：动作执行期间双脚支撑位置基本不变（平移<10cm），但躯干构型发生显著改变。与L1-01的区别：L1-01要求支撑基底发生空间平移。与L1-03的区别：L1-02描述的是躯干和下肢的构型变化，L1-03描述的是上肢的空间运动。若一个动作同时涉及躯干调姿和上肢伸达（如弯腰拿地面物品），则拆分为L1-02弯腰+L1-03伸达两个原子动作。,L2-02-04,躯干旋转,Trunk Axial Rotation,以脊柱纵轴为旋转中心，上半身相对于下半身进行水平面内转动的运动。目的是改变上肢工作方向或头部朝向，而不移动双脚位置。,与L2-01-02的区别：躯干旋转时双脚位置不变，仅上半身转动；变向行走时双脚发生步行移动。与L2-02-05的区别：躯干旋转是绕垂直轴的转动（水平面内），侧倾是绕前后轴的倾斜（冠状面内）。,位置控制,腰部/全身,站在工位上转身从身后的物料架取料；在两台相邻设备间转体切换操作对象；转身面向来人进行物料传递,[转体]-[旋转角度范围]-[方向]，示例：转体-90度-向左
1.0,L1-02,躯体姿态调整,Trunk Postural Adjustment,以改变机器人躯干、腰部、腿部的空间构型为核心特征的运动模式，但不产生整体位置的显著平移。通过关节角度变化实现身体重心的垂直升降、前后偏移、左右倾斜或轴向旋转。这类动作的核心目的是调整身体工作姿势或维持外力作用下的平衡稳定。,判定归属L1-02的核心标准：动作执行期间双脚支撑位置基本不变（平移<10cm），但躯干构型发生显著改变。与L1-01的区别：L1-01要求支撑基底发生空间平移。与L1-03的区别：L1-02描述的是躯干和下肢的构型变化，L1-03描述的是上肢的空间运动。若一个动作同时涉及躯干调姿和上肢伸达（如弯腰拿地面物品），则拆分为L1-02弯腰+L1-03伸达两个原子动作。,L2-02-05,侧倾探伸,Lateral Lean and Reach Extension,身体向左右方向倾斜以扩大侧向操作半径的运动。通过重心侧向偏移，使上肢能够到达直立状态下无法触及的侧方区域，同时需要对侧腿增加支撑力以维持平衡。,与L2-02-04的区别：侧倾是在冠状面（左右方向）的线性偏移，不涉及绕轴转动；躯干旋转是绕垂直轴的角度变化。与L2-02-02的区别：侧倾方向为左右，弯腰方向为前后。若同时涉及前倾和侧倾，按主要方向归类。,力-位混合控制,腰部/全身,侧倾探入设备内部触及深处的控制按钮；在工位上侧伸手取稍远处工具而不挪步；侧倾身体让出通道同时保持对工件的持握,[侧倾]-[倾斜方向]-[探伸距离]，示例：侧倾-右侧-中等探伸
1.0,L1-02,躯体姿态调整,Trunk Postural Adjustment,以改变机器人躯干、腰部、腿部的空间构型为核心特征的运动模式，但不产生整体位置的显著平移。通过关节角度变化实现身体重心的垂直升降、前后偏移、左右倾斜或轴向旋转。这类动作的核心目的是调整身体工作姿势或维持外力作用下的平衡稳定。,判定归属L1-02的核心标准：动作执行期间双脚支撑位置基本不变（平移<10cm），但躯干构型发生显著改变。与L1-01的区别：L1-01要求支撑基底发生空间平移。与L1-03的区别：L1-02描述的是躯干和下肢的构型变化，L1-03描述的是上肢的空间运动。若一个动作同时涉及躯干调姿和上肢伸达（如弯腰拿地面物品），则拆分为L1-02弯腰+L1-03伸达两个原子动作。,L2-02-06,静态支撑保持,Static Postural Bracing,在外力作用下维持当前身体姿态不变的主动抗扰运动。肌肉（关节执行器）持续输出力矩以抵消外部扰动，身体各关节位置保持恒定。这是一种等长收缩型的运动模式。,与L2-02-07的区别：静态支撑是对预期的、持续的外力进行稳态抵抗；动态平衡恢复是对突发的、瞬态的扰动进行快速反应。与L1-05中L2-05-06的区别：静态支撑描述全身姿态的维持，L2-05-06描述手臂对外部物体施加的抵持力。,阻抗控制/力控制,全身/腰部/腿部,双手持重物保持上举姿态等待协作者安装；在振动设备旁保持稳定站姿进行精密操作；抵抗反作用力保持身体姿态进行推压作业,[支撑]-[姿态类型]-[抗扰方向]，示例：支撑-前倾持物姿态-抗重力
1.0,L1-02,躯体姿态调整,Trunk Postural Adjustment,以改变机器人躯干、腰部、腿部的空间构型为核心特征的运动模式，但不产生整体位置的显著平移。通过关节角度变化实现身体重心的垂直升降、前后偏移、左右倾斜或轴向旋转。这类动作的核心目的是调整身体工作姿势或维持外力作用下的平衡稳定。,判定归属L1-02的核心标准：动作执行期间双脚支撑位置基本不变（平移<10cm），但躯干构型发生显著改变。与L1-01的区别：L1-01要求支撑基底发生空间平移。与L1-03的区别：L1-02描述的是躯干和下肢的构型变化，L1-03描述的是上肢的空间运动。若一个动作同时涉及躯干调姿和上肢伸达（如弯腰拿地面物品），则拆分为L1-02弯腰+L1-03伸达两个原子动作。,L2-02-07,动态平衡恢复,Dynamic Balance Recovery,在受到突发外部扰动（碰撞、滑移、负载突变）后，通过快速全身协调运动恢复稳定平衡状态的反应性运动。涉及踝策略、髋策略或迈步策略的自动切换。,与L2-02-06的区别：动态平衡恢复是对意外扰动的快速反应，具有瞬态特征；静态支撑是对持续力的稳态抵抗。若恢复过程中产生了小幅迈步（<1步），仍归入本L2；若需要多步连续移动才能恢复，则整体属于L1-01。,力-位混合控制/阻抗控制,全身/腿部/腰部,被经过的叉车气流扰动后恢复平衡；搬运物体时负载突然偏移导致重心偏离后恢复；踩到油渍脚底打滑后的快速稳定,[恢复]-[扰动类型]-[恢复策略]，示例：恢复-侧向冲击-髋策略
1.0,L1-03,上肢空间运动,Upper Limb Spatial Motion,以单臂或双臂末端（手部）在三维空间中进行轨迹运动为核心特征的运动模式。手部沿自由空间轨迹移动，可空载或负载。该类动作的物理本质是末端执行器（手部）在笛卡尔空间中的位置和姿态变化，不涉及与环境的持续接触力交互。,判定归属L1-03的核心标准：动作以手部在空间中的轨迹运动为主要特征，且运动过程中不存在与外部环境或对象的持续接触力交互（或接触力仅为维持抓持的被动力，不是主动施加的工作力）。与L1-04的区别：L1-03描述臂的空间运动，L1-04描述手指的构型变化。与L1-05~08的区别：L1-03的运动在自由空间中进行，L1-05~08涉及与外部环境的主动力交互或约束路径。,L2-03-01,空载伸达,Unloaded Reaching,空手状态下将手臂从当前位置移动到目标位置的运动。是上肢操作的起始和过渡动作，运动规划的核心是避障路径和到达时间优化。,与L2-03-02的区别：空载伸达时手中无物体。与L1-09的区别：空载伸达的目的是为后续操作（如抓取）做准备，L1-09的伸达目的是感知信息采集。若伸达终点是为了触摸检测，归入L1-09。,位置控制,单臂,伸手到物料盒上方准备抓取零件；将手臂移动到工具架位置准备取工具；将手伸入设备内部准备操作开关,[伸达]-[目标区域]-[路径约束]，示例：伸达-物料盒上方-无障碍直线
1.0,L1-03,上肢空间运动,Upper Limb Spatial Motion,以单臂或双臂末端（手部）在三维空间中进行轨迹运动为核心特征的运动模式。手部沿自由空间轨迹移动，可空载或负载。该类动作的物理本质是末端执行器（手部）在笛卡尔空间中的位置和姿态变化，不涉及与环境的持续接触力交互。,判定归属L1-03的核心标准：动作以手部在空间中的轨迹运动为主要特征，且运动过程中不存在与外部环境或对象的持续接触力交互（或接触力仅为维持抓持的被动力，不是主动施加的工作力）。与L1-04的区别：L1-03描述臂的空间运动，L1-04描述手指的构型变化。与L1-05~08的区别：L1-03的运动在自由空间中进行，L1-05~08涉及与外部环境的主动力交互或约束路径。,L2-03-02,单臂负载转移,Single-arm Loaded Transfer,单手持有物体状态下将物体从当前位置搬运到目标位置的臂部空间运动。与空载伸达相比，增加了负载的惯性补偿和防倾翻/防掉落的姿态约束。,与L2-03-01的区别：手中持有物体。与L2-03-03的区别：仅使用单臂，物体重量和体积在单臂承载范围内。与L2-03-05的区别：本L2强调搬运过程中的轨迹运动，L2-03-05强调到达目标点后的定位精度。,位置控制/力-位混合控制,单臂/灵巧手,单手拿起螺丝刀从工具架移到工位；将已拧好的螺栓放入成品盒；从传送带上拿取零件移至装配台,[转移]-[物体特征]-[移动距离]，示例：转移-小型紧固件-近距
1.0,L1-03,上肢空间运动,Upper Limb Spatial Motion,以单臂或双臂末端（手部）在三维空间中进行轨迹运动为核心特征的运动模式。手部沿自由空间轨迹移动，可空载或负载。该类动作的物理本质是末端执行器（手部）在笛卡尔空间中的位置和姿态变化，不涉及与环境的持续接触力交互。,判定归属L1-03的核心标准：动作以手部在空间中的轨迹运动为主要特征，且运动过程中不存在与外部环境或对象的持续接触力交互（或接触力仅为维持抓持的被动力，不是主动施加的工作力）。与L1-04的区别：L1-03描述臂的空间运动，L1-04描述手指的构型变化。与L1-05~08的区别：L1-03的运动在自由空间中进行，L1-05~08涉及与外部环境的主动力交互或约束路径。,L2-03-03,双臂协调搬运,Bimanual Coordinated Carrying,双臂同时持有同一物体并协调运动将其从一个位置搬运到另一个位置。两臂需要保持相对位姿的一致性（主从协调或对称协调），以防止物体变形或滑脱。,与L2-03-02的区别：需要双臂同时参与，物体的重量或尺寸超过单臂能力。与L1-01-07的区别：双臂协调搬运描述的是上肢的搬运动作本身，L1-01-07描述的是负载状态下的行走步态。一次完整搬运通常由L2-03-03（上肢搬运）+L2-01-07（负载行走）组合完成。,力-位混合控制,双臂/灵巧手,双手搬起大型面板从物料区到装配台；双臂抱持圆柱形工件移至加工区；两手协调托举长条型材改变存放位置,[协搬]-[物体形状]-[载荷等级]，示例：协搬-长条型材-中载
1.0,L1-03,上肢空间运动,Upper Limb Spatial Motion,以单臂或双臂末端（手部）在三维空间中进行轨迹运动为核心特征的运动模式。手部沿自由空间轨迹移动，可空载或负载。该类动作的物理本质是末端执行器（手部）在笛卡尔空间中的位置和姿态变化，不涉及与环境的持续接触力交互。,判定归属L1-03的核心标准：动作以手部在空间中的轨迹运动为主要特征，且运动过程中不存在与外部环境或对象的持续接触力交互（或接触力仅为维持抓持的被动力，不是主动施加的工作力）。与L1-04的区别：L1-03描述臂的空间运动，L1-04描述手指的构型变化。与L1-05~08的区别：L1-03的运动在自由空间中进行，L1-05~08涉及与外部环境的主动力交互或约束路径。,L2-03-04,物体翻转调姿,Object Reorientation in Air,在手持物体状态下，通过臂部和腕部的协调运动改变物体在空间中的姿态（旋转、翻转、倾斜），使其从当前朝向变为目标朝向。运动在自由空间中进行，无外部接触约束。,与L1-06的区别：物体翻转调姿是在自由空间中改变物体朝向，不涉及与外部环境的旋转力交互；L1-06描述的是对外施加旋转力矩（如拧螺丝）。与L2-04-05的区别：本L2通过臂部运动实现大幅度姿态变化，L2-04-05通过手指运动实现小幅度手内调整。,位置控制/力-位混合控制,单臂/双臂/灵巧手,将工件翻面以便加工另一面；将零件旋转90度以匹配装配方向；翻转PCB板检查焊点质量,[翻转]-[旋转轴向]-[角度范围]，示例：翻转-绕水平轴-180度
1.0,L1-03,上肢空间运动,Upper Limb Spatial Motion,以单臂或双臂末端（手部）在三维空间中进行轨迹运动为核心特征的运动模式。手部沿自由空间轨迹移动，可空载或负载。该类动作的物理本质是末端执行器（手部）在笛卡尔空间中的位置和姿态变化，不涉及与环境的持续接触力交互。,判定归属L1-03的核心标准：动作以手部在空间中的轨迹运动为主要特征，且运动过程中不存在与外部环境或对象的持续接触力交互（或接触力仅为维持抓持的被动力，不是主动施加的工作力）。与L1-04的区别：L1-03描述臂的空间运动，L1-04描述手指的构型变化。与L1-05~08的区别：L1-03的运动在自由空间中进行，L1-05~08涉及与外部环境的主动力交互或约束路径。,L2-03-05,精确定点放置,Precision Spot Placement,将手持物体在目标位置进行高精度定位放置的运动。与一般搬运不同，最后阶段需要低速趋近和视觉/力觉反馈闭环，以确保放置位置和姿态满足精度要求（通常优于±2mm）。,与L2-03-02的区别：精确定点放置对终点位姿精度有明确要求（±2mm以内），一般转移精度要求低于此阈值。与L1-07的区别：精确定点放置是将物体放到指定点，物体与环境之间没有几何约束引导；L1-07的运动路径受物理几何约束（如孔、槽、导轨）引导。,位置控制/视觉伺服,单臂/灵巧手,将精密元件放置到PCB指定焊盘位置；将试样精确放置在测量夹具的定位点；将密封圈放置到装配面的指定凹槽开口处,[定放]-[对象类型]-[精度等级]，示例：定放-贴片元件-亚毫米级
1.0,L1-03,上肢空间运动,Upper Limb Spatial Motion,以单臂或双臂末端（手部）在三维空间中进行轨迹运动为核心特征的运动模式。手部沿自由空间轨迹移动，可空载或负载。该类动作的物理本质是末端执行器（手部）在笛卡尔空间中的位置和姿态变化，不涉及与环境的持续接触力交互。,判定归属L1-03的核心标准：动作以手部在空间中的轨迹运动为主要特征，且运动过程中不存在与外部环境或对象的持续接触力交互（或接触力仅为维持抓持的被动力，不是主动施加的工作力）。与L1-04的区别：L1-03描述臂的空间运动，L1-04描述手指的构型变化。与L1-05~08的区别：L1-03的运动在自由空间中进行，L1-05~08涉及与外部环境的主动力交互或约束路径。,L2-03-06,规律排列码放,Regular Array Stacking,按照预定的排列规律和空间图案，将物体逐个放置形成有序阵列或堆垛的重复性运动。单次放置的精度要求中等，但要求多次放置之间的一致性和间距均匀性。,与L2-03-05的区别：规律排列码放强调多个物体之间的相对位置一致性和排列规律性，而非单个物体的绝对定位精度。与L2-03-02的区别：码放有明确的阵列模式（行列、层叠），而非简单的从A到B搬运。,位置控制,单臂/双臂/灵巧手,将零件按矩阵排列放入料盘；将纸箱在托盘上逐层码垛；将成品按编号顺序排列到出货架上,[码放]-[排列模式]-[层数]，示例：码放-矩阵排列-单层
