process_step,process_rank,scene_name_zh,source_major_name,value_score,difficulty_score,labor_urgency,scale_potential,superhuman_value
总装,4,内燃机装配-柴油机-多工位流水装配,通用设备制造业,4.33,2.25,3,5,5
总装,4,装配安装-座椅总成-重载搬运定位,汽车制造业,4.33,2.5,4,5,4
总装,4,装配安装-轮胎总成-定扭矩紧固,汽车制造业,4.33,2.5,3,5,5
总装,4,装配紧固-底盘悬架-力矩控制,汽车制造业,4.33,2.5,3,5,5
总装,4,装配安装-仪表板总成-舱内作业,汽车制造业,4.33,2.75,4,5,4
总装,4,物料配送-总装线边-多品种混流,汽车制造业,4.0,2.0,3,5,4
总装,4,装配安装-内饰件-多品种卡接,汽车制造业,4.0,2.0,3,5,4
总装,4,装配安装-车门总成-铰链调整,汽车制造业,4.0,2.5,3,5,4
总装,4,装配安装-风挡玻璃-涂胶定位,汽车制造业,4.0,2.5,3,5,4
总装,4,装配安装-发动机舱线束-狭窄走线,汽车制造业,4.0,2.75,3,5,4
设备维护,5,电气巡检-配电设施-红外测温及读数,石油和天然气开采业,4.67,0.75,4,5,5
设备维护,5,巡检读数-油气井场仪表-多点定时采集,石油和天然气开采业,4.33,0.75,3,5,5
设备维护,5,管道检测-地面管线-外观及测厚巡检,石油和天然气开采业,4.33,1.75,3,5,5
设备维护,5,压缩机巡检-天然气处理站-振动温度监测,石油和天然气开采业,4.0,1.25,3,4,5
设备维护,5,阴极保护检测-埋地管道-电位测量记录,石油和天然气开采业,4.0,1.25,3,5,4
设备维护,5,设备润滑-井场机泵-定期加注黄油,石油和天然气开采业,4.0,1.5,3,5,4
设备维护,5,井口清蜡-抽油井-定期热洗作业,石油和天然气开采业,4.0,2.0,4,5,3
设备维护,5,修井作业-井下工具-地面组装连接,石油和天然气开采业,4.0,2.25,4,4,4
设备维护,5,抽油机维护-游梁式抽油机-皮带更换及调整,石油和天然气开采业,3.67,2.25,3,5,3
设备维护,5,可燃冰开采监测-深水作业-设备状态巡检,石油和天然气开采业,3.33,1.0,4,2,4
检验,6,外观检测-机制纸表面-纸病识别,造纸和纸制品业,4.33,1.25,4,4,5
检验,6,光学检测-眼镜镜片-全检分级,专用设备制造业,4.33,1.25,4,4,5
检验,6,搬运码垛-耐火砖-高温出窑,非金属矿物制品业,4.0,1.5,4,4,4
检验,6,帘子布检验-产业用基布-连续外观检测,纺织业,4.0,1.75,4,3,5
检验,6,外观检测-日用玻璃-多品种快速,非金属矿物制品业,4.0,2.0,3,4,5
检验,6,外观检测-成品家具-多面翻转,家具制造业,3.67,1.25,3,4,4
检验,6,外观检测-消防器材-表面缺陷,专用设备制造业,3.67,1.25,3,4,4
检验,6,外观检测-玻璃仪器-精密透明,非金属矿物制品业,3.67,1.5,3,3,5
检验,6,外观检测-碳素制品-表面缺陷,非金属矿物制品业,3.67,1.5,3,3,5
检验,6,染色样品检测-毛织物对色-高精度色差判断,纺织业,3.33,1.0,3,3,4
配料称量,7,投料加料-粉体原料-粉尘爆炸风险,化学原料和化学制品制造业,4.33,1.25,5,4,4
配料称量,7,搬运上料-橡胶配合剂-粉尘重载,橡胶和塑料制品业,4.33,1.5,5,4,4
配料称量,7,配料称量-粉体原料-精确投料,食品制造业,4.33,2.0,3,5,5
配料称量,7,添加剂计量-食品配料-微量精确,食品制造业,4.0,2.0,4,3,5
配料称量,7,搬运投料-橡胶生胶块-25kg重载高温,橡胶和塑料制品业,3.67,1.25,4,4,3
配料称量,7,配料称量-洗涤剂-表活原料,化学原料和化学制品制造业,3.67,1.5,3,4,4
配料称量,7,原料搬运-袋装豆粕-饲料配料区,农副食品加工业,3.67,1.5,4,4,3
配料称量,7,固体饮料称量包装-配料车间-多品种切换,酒、饮料和精制茶制造业,3.67,2.0,4,3,4
配料称量,7,配料称量-原料精准配比-粉尘扬尘环境,黑色金属冶炼和压延加工业,3.33,1.5,3,3,4
配料称量,7,配料称量-香精香料-微量精密,化学原料和化学制品制造业,3.33,2.25,3,3,4
灌装,8,灌装监控-液态乳-无菌区辅助,食品制造业,4.67,2.25,5,4,5
灌装,8,灌装液位检测-饮料灌装线-高速在线,酒、饮料和精制茶制造业,4.33,1.25,4,5,4
灌装,8,灌装封盖-化妆品瓶-GMP洁净,化学原料和化学制品制造业,4.33,2.0,4,4,5
灌装,8,洗瓶机监控-灌装线前端-在线巡视,酒、饮料和精制茶制造业,4.0,1.0,4,4,4
灌装,8,空瓶卸垛-包装线前端-周转箱拆解,酒、饮料和精制茶制造业,4.0,1.5,4,5,3
灌装,8,上瓶理瓶-灌装线进口-高速连续,酒、饮料和精制茶制造业,4.0,1.75,4,5,3
灌装,8,灌装操作-调味品-定量分装,食品制造业,3.67,2.0,3,4,4
灌装,8,空罐输送上线-易拉罐灌装-轻质高速,酒、饮料和精制茶制造业,3.33,1.75,3,4,3
灌装,8,灌装封口-涂料油墨桶-多规格切换,化学原料和化学制品制造业,3.33,2.0,3,4,3
质检,9,印刷品质检-外观瑕疵-全面翻检,印刷和记录媒介复制业,4.67,1.25,4,5,5
质检,9,灯检目视-安瓿注射液-微粒异物检测,医药制造业,4.33,2.0,4,4,5
质检,9,通用巡检-生产车间-日杂制造,其他制造业,4.0,0.75,3,5,4
质检,9,成品抽检搬运-质检室-跨区转运,酒、饮料和精制茶制造业,4.0,1.0,3,5,4
质检,9,印刷车间巡检-设备状态-多机台覆盖,印刷和记录媒介复制业,3.67,0.75,2,4,5
质检,9,取样送检-中间体样品-洁净区跨区,医药制造业,3.67,1.25,3,4,4
质检,9,样品留存-成品药品-留样库管理,医药制造业,3.33,0.75,2,4,4
质检,9,外观质检-成品刷具-多面翻转,其他制造业,3.33,1.25,3,3,4
质检,9,外观质检-成品伞-展开状态全检,其他制造业,3.33,1.5,3,3,4
采掘作业,10,巡检监测-井下巷道-瓦斯粉尘环境,煤炭开采和洗选业,5.0,1.0,5,5,5
采掘作业,10,巡检监测-井下采掘工作面-高危受限空间,黑色金属矿采选业,4.67,1.25,5,4,5
采掘作业,10,检测巡查-井下变电所-电气安全,煤炭开采和洗选业,4.67,1.5,5,4,5
采掘作业,10,搬运配送-井下物料-狭窄巷道,煤炭开采和洗选业,4.0,1.5,4,5,3
采掘作业,10,检测维护-支护设备-锚杆锚索,煤炭开采和洗选业,4.0,1.75,4,4,4
采掘作业,10,应急救援-灾区侦测-危险环境,煤炭开采和洗选业,4.0,2.75,5,2,5
采掘作业,10,操作维护-露天采场-挖掘机点检,煤炭开采和洗选业,3.67,1.5,4,3,4
采掘作业,10,检测采样-石煤开采-粉尘监测,煤炭开采和洗选业,3.33,1.0,4,2,4
检测测试,11,外观检测-仪表壳体-多面翻转,仪器仪表制造业,4.67,1.25,4,5,5
检测测试,11,巡检读数-生产设备仪表盘-固定路线,仪器仪表制造业,4.33,0.5,3,5,5
检测测试,11,试验机加载-力学测试-样品装夹,仪器仪表制造业,4.0,1.0,3,4,5
检测测试,11,辐射测试-核辐射仪器-危险环境操作,仪器仪表制造业,4.0,1.0,5,2,5
检测测试,11,功能测试-电工仪表-按键旋钮操作,仪器仪表制造业,4.0,1.25,3,4,5
检测测试,11,气象仪器现场维护-野外站点-定期巡检,仪器仪表制造业,3.67,1.5,4,3,4
检测测试,11,环境监测仪部署-野外站点-恶劣环境安装,仪器仪表制造业,3.67,2.0,4,3,4
检测测试,11,教学仪器演示-实验室设备-标准操作,仪器仪表制造业,2.67,1.0,2,3,3
成品出库,12,成品码垛-包装线末端-重复搬运,有色金属冶炼和压延加工业,4.33,1.5,4,5,4
成品出库,12,搬运码垛-精矿成品-25kg袋装,有色金属矿采选业,4.33,1.5,4,5,4
成品出库,12,成品搬运码垛-仪器仪表-轻载精密,仪器仪表制造业,3.67,1.0,3,5,3
成品出库,12,钢板堆垛-成品码垛入库-重载精准定位,黑色金属冶炼和压延加工业,3.67,1.25,3,5,3
成品出库,12,搬运码垛-成品纸卷-重载大尺寸,造纸和纸制品业,3.67,1.5,4,4,3
成品出库,12,码垛打包-再生料袋-出库装车,废弃资源综合利用业,3.67,1.5,3,5,3
成品出库,12,成品装箱码垛-出货区-多SKU混装,纺织服装、服饰业,3.67,1.75,4,4,3
成品出库,12,清洁擦拭-整车PDI-交付前处理,汽车制造业,3.33,0.5,2,5,3
涂装,13,喷涂作业-木质家具-油性漆多层,家具制造业,4.67,2.0,5,4,5
涂装,13,漆面检测-涂装下线-全车扫描,汽车制造业,4.33,0.5,4,4,5
涂装,13,巡检维护-车间设备-多点位覆盖,汽车制造业,4.33,0.75,3,5,5
涂装,13,表面打磨-涂装前处理-全车覆盖,汽车制造业,4.33,2.0,4,4,5
涂装,13,喷涂作业-铁路车辆车体-密闭涂装房有机溶剂环境,铁路、船舶、航空航天和其他运输设备制造业,4.0,1.75,4,4,4
涂装,13,漆面精修-涂装缺陷-点位抛光,汽车制造业,3.67,2.0,3,4,4
涂装,13,贴遮蔽纸-喷涂前处理-多区域覆盖,汽车制造业,3.33,1.75,3,4,3
功能测试,14,巡检读数-电子厂设备仪表-固定路线多点位,计算机、通信和其他电子设备制造业,4.0,0.75,3,5,4
功能测试,14,功能测试-电玩具-开关声光,文教、工美、体育和娱乐用品制造业,4.0,1.0,3,5,4
功能测试,14,功能测试-圆珠笔出墨-连续划线检测,文教、工美、体育和娱乐用品制造业,4.0,1.25,3,5,4
功能测试,14,功能测试-电子琴按键-全键盘扫描,文教、工美、体育和娱乐用品制造业,3.33,0.75,3,3,4
功能测试,14,测试操作-航天器功能测试-洁净室人机界面操作,铁路、船舶、航空航天和其他运输设备制造业,3.33,0.75,3,2,5
功能测试,14,功能测试-成品伞-开合耐久,其他制造业,3.33,1.0,3,3,4
功能测试,14,复印机功能测试-多功能一体机-全功能验证,通用设备制造业,3.33,1.25,2,4,4
功能测试,14,功能测试-通信基站模块-多接口多协议,计算机、通信和其他电子设备制造业,3.0,1.25,2,3,4
设备巡检,15,设备巡检-变电站开关柜-多仪表读取,电力、热力生产和供应业,4.33,1.0,3,5,5
设备巡检,15,锅炉巡检-火电厂高温区-热成像监测,电力、热力生产和供应业,4.33,1.0,4,4,5
设备巡检,15,配电房巡检-电力供应配电设施-带电环境操作,电力、热力生产和供应业,4.0,0.5,3,5,4
设备巡检,15,发电机励磁巡检-发电厂励磁系统-高压电气环境,电力、热力生产和供应业,3.67,0.75,3,4,4
设备巡检,15,水轮机层巡检-水电站厂房-多层楼梯通行,电力、热力生产和供应业,3.67,0.75,3,4,4
设备巡检,15,汽轮机油系统巡检-发电厂润滑油系统-高温油雾环境,电力、热力生产和供应业,3.67,0.75,3,4,4
设备巡检,15,换热站巡检-热力供应换热设备-多阀门操控,电力、热力生产和供应业,3.67,1.5,3,4,4
