rank,process_step,category,scene_count,intervention_roi,value_density,avg_difficulty_score,insight
56,生产监控巡检,加工制造,3,10.66,13.32,1.25,需评估具体场景
57,装配,加工制造,6,10.59,22.98,2.17,需评估具体场景
58,成型,加工制造,6,10.56,20.7,1.96,需评估具体场景
59,洗选加工,加工制造,4,10.21,15.32,1.5,需评估具体场景
60,外观检验,检测质控,4,10.14,14.0,1.38,需评估具体场景
61,通风排水,其他工序,3,10.02,13.32,1.33,需评估具体场景
62,测试,检测质控,2,9.79,7.34,0.75,需评估具体场景
63,安全监控,巡检维护,2,9.66,9.66,1.0,需评估具体场景
64,性能测试,检测质控,3,9.52,12.66,1.33,需评估具体场景
65,烘干,其他工序,2,9.48,8.34,0.88,需评估具体场景
66,井巷开拓,其他工序,2,9.48,8.34,0.88,需评估具体场景
67,反应造粒,加工制造,1,9.34,4.67,0.5,需评估具体场景
68,装箱,包装成品,4,9.33,16.32,1.75,需评估具体场景
69,蒸煮,其他工序,1,8.66,4.33,0.5,需评估具体场景
70,压榨浸出,其他工序,1,8.66,4.33,0.5,需评估具体场景
71,蒸馏,加工制造,1,8.66,4.33,0.5,需评估具体场景
72,内部检测,检测质控,2,8.66,8.66,1.0,需评估具体场景
73,调试试车,其他工序,1,8.66,4.33,0.5,需评估具体场景
74,冲压成型,加工制造,3,8.45,12.0,1.42,需评估具体场景
75,运输提升,其他工序,2,8.34,9.34,1.12,需评估具体场景
76,熔融纺丝,其他工序,3,8.22,11.67,1.42,需评估具体场景
77,杀菌,其他工序,3,8.22,12.33,1.5,需评估具体场景
78,煤气净化,其他工序,2,8.04,9.0,1.12,需评估具体场景
79,干燥处理,其他工序,1,8.0,4.0,0.5,需评估具体场景
80,元件制造,加工制造,1,8.0,4.0,0.5,需评估具体场景
81,磨矿分级,其他工序,3,8.0,12.0,1.5,需评估具体场景
82,脱水干燥,其他工序,1,8.0,4.0,0.5,需评估具体场景
83,老化测试,检测质控,2,8.0,8.0,1.0,需评估具体场景
84,清洗处理,其他工序,2,8.0,8.0,1.0,需评估具体场景
85,组件巡检,巡检维护,1,8.0,4.0,0.5,需评估具体场景
86,输煤系统,其他工序,1,8.0,4.0,0.5,需评估具体场景
87,储气,其他工序,1,8.0,4.0,0.5,需评估具体场景
88,包装出库,仓储物流,3,7.99,11.34,1.42,需评估具体场景
89,调试,其他工序,3,7.99,11.34,1.42,需评估具体场景
90,成品码垛,包装成品,3,7.78,11.67,1.5,需评估具体场景
91,矿石开采,其他工序,3,7.61,13.32,1.75,需评估具体场景
92,平台维护,巡检维护,3,7.58,12.66,1.67,需评估具体场景
93,部件组装,加工制造,3,7.56,11.34,1.5,需评估具体场景
94,洗选分级,其他工序,2,7.45,8.34,1.12,需评估具体场景
95,校准调试,其他工序,2,7.45,8.34,1.12,需评估具体场景
96,整机装配,加工制造,4,7.4,15.68,2.12,需评估具体场景
97,冷藏存储,其他工序,2,7.34,7.34,1.0,需评估具体场景
98,毛油精炼,加工制造,1,7.34,3.67,0.5,需评估具体场景
99,加工制造,加工制造,2,7.14,8.0,1.12,需评估具体场景
100,制粒混合,其他工序,2,7.14,8.0,1.12,需评估具体场景
101,检选,其他工序,3,7.05,12.33,1.75,需评估具体场景
102,卷绕成型,加工制造,4,7.0,14.0,2.0,需评估具体场景
103,冷库仓储,仓储物流,2,6.93,8.66,1.25,需评估具体场景
104,采油采气,其他工序,3,6.74,12.33,1.83,需评估具体场景
105,提取浓缩,其他工序,1,6.66,3.33,0.5,需评估具体场景
106,擂溃调味,其他工序,1,6.66,3.33,0.5,需评估具体场景
107,机械破碎,原料处理,1,6.66,3.33,0.5,需评估具体场景
108,部件装配,加工制造,4,6.44,15.32,2.38,需评估具体场景
109,仓储堆存,仓储物流,2,6.4,8.0,1.25,需评估具体场景
110,辐照处理,其他工序,2,6.4,8.0,1.25,需评估具体场景
111,液化储存,仓储物流,2,6.4,8.0,1.25,需评估具体场景
112,消毒,其他工序,2,6.4,8.0,1.25,需评估具体场景
113,筛选,其他工序,2,6.34,6.34,1.0,需评估具体场景
114,储运,仓储物流,2,6.28,8.66,1.38,需评估具体场景
115,井下运输,其他工序,2,6.28,8.66,1.38,需评估具体场景
116,合成,加工制造,1,6.23,4.67,0.75,需评估具体场景
117,回转窑煅烧,加工制造,1,6.23,4.67,0.75,需评估具体场景
118,竖窑/回转窑煅烧,加工制造,1,6.23,4.67,0.75,需评估具体场景
119,磨矿,其他工序,1,6.23,4.67,0.75,需评估具体场景
120,安全监测监控,巡检维护,1,6.23,4.67,0.75,需评估具体场景
121,生化池,其他工序,1,6.23,4.67,0.75,需评估具体场景
122,织造,加工制造,2,6.13,7.66,1.25,需评估具体场景
123,鞣制,其他工序,2,6.13,7.66,1.25,需评估具体场景
124,发酵/热解,其他工序,2,6.13,7.66,1.25,需评估具体场景
125,印后加工,加工制造,3,6.11,8.67,1.42,需评估具体场景
126,成品检验,检测质控,2,6.04,8.34,1.38,需评估具体场景
127,中间储存,仓储物流,2,6.04,8.34,1.38,需评估具体场景
128,冻干封口,其他工序,2,6.04,8.34,1.38,需评估具体场景
129,安全测试,检测质控,1,6.0,3.0,0.5,需评估具体场景
130,炼焦,其他工序,2,6.0,9.0,1.5,需评估具体场景
131,内包装,包装成品,3,5.91,11.34,1.92,需评估具体场景
132,印刷,其他工序,3,5.82,10.65,1.83,需评估具体场景
133,卷接成型,加工制造,2,5.8,8.0,1.38,需评估具体场景
134,试压检漏,其他工序,2,5.8,8.0,1.38,需评估具体场景
135,元器件组装,加工制造,2,5.8,8.0,1.38,需评估具体场景
136,达标排放,其他工序,1,5.77,4.33,0.75,需评估具体场景
137,巡检监控,巡检维护,1,5.77,4.33,0.75,需评估具体场景
138,高炉冶炼,加工制造,1,5.77,4.33,0.75,需评估具体场景
139,碾磨研磨,其他工序,1,5.77,4.33,0.75,需评估具体场景
140,故障诊断,其他工序,1,5.77,4.33,0.75,需评估具体场景
141,厌氧发酵,其他工序,1,5.77,4.33,0.75,需评估具体场景
142,沼气净化,其他工序,1,5.77,4.33,0.75,需评估具体场景
143,二沉池,其他工序,1,5.77,4.33,0.75,需评估具体场景
144,制丝加工,加工制造,2,5.6,7.0,1.25,需评估具体场景
145,坯布检验,检测质控,2,5.56,8.34,1.5,需评估具体场景
146,维护检修,巡检维护,2,5.56,9.0,1.62,需评估具体场景
147,石墨化,其他工序,2,5.55,7.66,1.38,需评估具体场景
148,焊装,其他工序,3,5.45,11.34,2.08,需评估具体场景
149,活化,其他工序,1,5.33,4.0,0.75,需评估具体场景
150,发酵培养,其他工序,1,5.33,4.0,0.75,需评估具体场景
151,出铁作业,其他工序,2,5.33,8.0,1.5,需评估具体场景
152,加热炉加热,加工制造,1,5.33,4.0,0.75,需评估具体场景
153,精轧,其他工序,2,5.33,8.0,1.5,需评估具体场景
154,矿热炉熔炼,加工制造,1,5.33,4.0,0.75,需评估具体场景
155,冷却破碎,原料处理,2,5.33,6.66,1.25,需评估具体场景
156,油气集输,其他工序,1,5.33,4.0,0.75,需评估具体场景
157,总装调试,其他工序,1,5.33,4.0,0.75,需评估具体场景
158,运营维护,巡检维护,1,5.33,4.0,0.75,需评估具体场景
159,精炼,加工制造,2,5.32,7.34,1.38,需评估具体场景
160,加工处理,加工制造,2,5.32,7.34,1.38,需评估具体场景
161,SMT贴片,其他工序,2,5.32,7.34,1.38,需评估具体场景
162,注塑成型,加工制造,2,5.15,8.34,1.62,需评估具体场景
163,连铸作业,其他工序,2,5.15,8.34,1.62,需评估具体场景
164,表面处理,其他工序,2,4.95,8.66,1.75,需评估具体场景
165,洁净装配,加工制造,2,4.95,8.66,1.75,需评估具体场景
166,定时巡检,巡检维护,1,4.89,3.67,0.75,需评估具体场景
167,组装,加工制造,3,4.89,11.01,2.25,需评估具体场景
168,脱模取件,其他工序,2,4.89,7.34,1.5,需评估具体场景
169,煮浆点浆,其他工序,1,4.89,3.67,0.75,需评估具体场景
170,内饰安装,其他工序,2,4.83,6.66,1.38,需评估具体场景
171,组装装配,加工制造,3,4.8,12.0,2.5,需评估具体场景
172,钻井作业,其他工序,2,4.77,8.34,1.75,需评估具体场景
173,预处理,原料处理,2,4.73,7.66,1.62,需评估具体场景
174,分装,其他工序,2,4.57,8.0,1.75,需评估具体场景
175,折页配页,其他工序,2,4.53,7.34,1.62,需评估具体场景
176,硫化定型,其他工序,2,4.44,6.66,1.5,需评估具体场景
177,质检包装,检测质控,1,4.44,3.33,0.75,需评估具体场景
178,井口巡检,巡检维护,1,4.44,3.33,0.75,需评估具体场景
179,分段焊接,加工制造,2,4.38,7.66,1.75,需评估具体场景
180,陈酿储存,仓储物流,2,4.35,6.0,1.38,需评估具体场景
181,高压测试,检测质控,1,4.33,4.33,1.0,需评估具体场景
182,粗煤气净化,其他工序,1,4.33,4.33,1.0,需评估具体场景
183,气化反应,加工制造,1,4.33,4.33,1.0,需评估具体场景
184,牵伸定型,其他工序,2,4.32,7.0,1.62,需评估具体场景
185,称量配料,原料处理,2,4.26,8.0,1.88,需评估具体场景
186,出合金作业,其他工序,2,4.26,8.0,1.88,需评估具体场景
187,缝制组装,加工制造,2,4.23,6.34,1.5,需评估具体场景
188,涂布,其他工序,2,4.07,7.66,1.88,需评估具体场景
189,分拣,其他工序,2,4.07,7.66,1.88,需评估具体场景
190,染色,加工制造,2,4.0,8.0,2.0,需评估具体场景
191,针织编织,其他工序,2,4.0,7.0,1.75,需评估具体场景
192,面料检验,检测质控,1,4.0,4.0,1.0,需评估具体场景
193,勘探定位,其他工序,2,4.0,7.0,1.75,需评估具体场景
194,储运设施管理,仓储物流,1,4.0,4.0,1.0,需评估具体场景
195,质检记录,检测质控,1,4.0,4.0,1.0,需评估具体场景
196,成缆检测,检测质控,1,4.0,4.0,1.0,需评估具体场景
197,结构检测,检测质控,1,4.0,4.0,1.0,需评估具体场景
198,储料巡检,巡检维护,1,4.0,4.0,1.0,需评估具体场景
199,烟气脱硫,环保安全,1,4.0,4.0,1.0,需评估具体场景
200,裁剪下料,其他工序,2,3.9,7.34,1.88,需评估具体场景
201,涂饰整理,其他工序,2,3.9,7.34,1.88,需评估具体场景
202,整车装配,加工制造,2,3.81,6.66,1.75,需评估具体场景
203,电池包装配,加工制造,2,3.78,9.0,2.38,需评估具体场景
204,整烫定型,其他工序,2,3.77,8.0,2.12,需评估具体场景
205,焊接,加工制造,2,3.77,8.0,2.12,需评估具体场景
206,配料,原料处理,1,3.74,4.67,1.25,需评估具体场景
207,运维巡检,巡检维护,1,3.74,4.67,1.25,需评估具体场景
208,浸漆固化,其他工序,1,3.74,4.67,1.25,需评估具体场景
209,切割,其他工序,2,3.7,6.0,1.62,需评估具体场景
210,配料混合,原料处理,2,3.67,7.34,2.0,需评估具体场景
211,精矿脱水,其他工序,1,3.67,3.67,1.0,需评估具体场景
212,配件分拣,其他工序,1,3.67,3.67,1.0,需评估具体场景
213,冷却塔散热,其他工序,1,3.67,3.67,1.0,需评估具体场景
214,炉排焚烧,加工制造,1,3.67,3.67,1.0,需评估具体场景
215,管道巡线,其他工序,1,3.67,3.67,1.0,需评估具体场景
216,灰库储存,仓储物流,1,3.67,3.67,1.0,需评估具体场景
217,装配组装,加工制造,2,3.62,6.34,1.75,需评估具体场景
218,铺展,其他工序,2,3.56,5.34,1.5,需评估具体场景
219,复制刻录,其他工序,1,3.56,2.67,0.75,需评估具体场景
220,干法纺丝,其他工序,2,3.54,6.66,1.88,需评估具体场景
221,分切,其他工序,2,3.5,7.0,2.0,需评估具体场景
222,阳极泥收集,其他工序,1,3.46,4.33,1.25,需评估具体场景
223,冷库储存,仓储物流,1,3.46,4.33,1.25,需评估具体场景
224,封盖,其他工序,1,3.46,4.33,1.25,需评估具体场景
225,粗格栅,其他工序,1,3.46,4.33,1.25,需评估具体场景
226,修边,其他工序,2,3.4,7.66,2.25,需评估具体场景
227,硫化,其他工序,2,3.4,7.66,2.25,需评估具体场景
228,装订,其他工序,2,3.37,6.34,1.88,需评估具体场景
229,脱胶,其他工序,1,3.33,3.33,1.0,需评估具体场景
230,压力测试,检测质控,1,3.33,3.33,1.0,需评估具体场景
231,测试标定,检测质控,1,3.33,3.33,1.0,需评估具体场景
232,绝缘处理,其他工序,1,3.33,3.33,1.0,需评估具体场景
233,检测包装,检测质控,1,3.2,4.0,1.25,需评估具体场景
234,溶剂回收,其他工序,1,3.2,4.0,1.25,需评估具体场景
235,提升出井,其他工序,1,3.2,4.0,1.25,需评估具体场景
236,通风除尘维护,巡检维护,1,3.2,4.0,1.25,需评估具体场景
237,贴标,包装成品,1,3.2,4.0,1.25,需评估具体场景
238,气密检测,检测质控,1,3.2,4.0,1.25,需评估具体场景
239,载荷试验,其他工序,1,3.2,4.0,1.25,需评估具体场景
240,密封测试,检测质控,1,3.2,4.0,1.25,需评估具体场景
241,物料卸载,其他工序,1,3.2,4.0,1.25,需评估具体场景
242,物料装载,其他工序,1,3.2,4.0,1.25,需评估具体场景
243,绝缘测试,检测质控,1,3.2,4.0,1.25,需评估具体场景
244,仓储堆垛,仓储物流,1,3.2,4.0,1.25,需评估具体场景
245,冷却,其他工序,1,3.11,4.67,1.5,需评估具体场景
246,总装集成,其他工序,2,3.11,7.0,2.25,需评估具体场景
247,设施维护,巡检维护,1,3.11,4.67,1.5,需评估具体场景
248,焊接组装,加工制造,2,3.06,7.66,2.5,需评估具体场景
249,入池发酵,其他工序,1,3.0,3.0,1.0,需评估具体场景
250,来料检验,检测质控,1,3.0,3.0,1.0,需评估具体场景
251,分拣分类,其他工序,1,2.94,3.67,1.25,需评估具体场景
252,渣处理,其他工序,1,2.94,3.67,1.25,需评估具体场景
253,还原,其他工序,1,2.94,3.67,1.25,需评估具体场景
254,环保监测,巡检维护,1,2.94,3.67,1.25,需评估具体场景
255,屠宰放血,其他工序,1,2.94,3.67,1.25,需评估具体场景
256,计量灌装,其他工序,1,2.94,3.67,1.25,需评估具体场景
257,质量检验,检测质控,1,2.89,4.33,1.5,需评估具体场景
258,检验包装,检测质控,1,2.89,4.33,1.5,需评估具体场景
259,催化裂化,其他工序,1,2.89,4.33,1.5,需评估具体场景
260,出窑,加工制造,1,2.89,4.33,1.5,需评估具体场景
261,铸坯检验,检测质控,1,2.89,4.33,1.5,需评估具体场景
262,喷砂除锈,其他工序,1,2.89,4.33,1.5,需评估具体场景
263,焊缝检测,检测质控,1,2.89,4.33,1.5,需评估具体场景
264,机加工,加工制造,1,2.89,4.33,1.5,需评估具体场景
265,化成,其他工序,1,2.89,4.33,1.5,需评估具体场景
266,极板涂膏,其他工序,1,2.89,4.33,1.5,需评估具体场景
267,分选,其他工序,1,2.89,4.33,1.5,需评估具体场景
268,电镀铜,其他工序,1,2.89,4.33,1.5,需评估具体场景
269,精加工,加工制造,2,2.82,6.34,2.25,需评估具体场景
270,成品检测,检测质控,1,2.67,4.0,1.5,需评估具体场景
271,复鞣染色,加工制造,1,2.67,4.0,1.5,需评估具体场景
272,检测分级,检测质控,1,2.67,4.0,1.5,需评估具体场景
273,表面检测,检测质控,1,2.67,4.67,1.75,需评估具体场景
274,电解精炼,加工制造,1,2.67,4.67,1.75,需评估具体场景
275,出铝,其他工序,1,2.67,4.67,1.75,需评估具体场景
276,油气处理,其他工序,1,2.67,4.0,1.5,需评估具体场景
277,成品储运,仓储物流,1,2.67,4.0,1.5,需评估具体场景
278,堆存包装,包装成品,1,2.67,4.0,1.5,需评估具体场景
279,数据监测,巡检维护,1,2.67,2.67,1.0,需评估具体场景
280,粉碎破碎,原料处理,1,2.67,4.0,1.5,需评估具体场景
281,取件冷却,其他工序,1,2.67,4.0,1.5,需评估具体场景
282,液压调试,其他工序,1,2.67,4.0,1.5,需评估具体场景
283,设备准备,其他工序,1,2.67,4.0,1.5,需评估具体场景
284,外观检查,其他工序,1,2.67,4.0,1.5,需评估具体场景
285,元器件安装,其他工序,1,2.67,4.0,1.5,需评估具体场景
286,预分类,其他工序,1,2.67,4.0,1.5,需评估具体场景
287,危废处置,其他工序,1,2.67,4.0,1.5,需评估具体场景
288,涂装防腐,其他工序,1,2.67,4.0,1.5,需评估具体场景
289,计量表校验,其他工序,1,2.67,4.0,1.5,需评估具体场景
290,调压站,其他工序,1,2.67,4.0,1.5,需评估具体场景
291,污泥脱水,其他工序,1,2.67,4.67,1.75,需评估具体场景
292,鞣制处理,其他工序,1,2.66,3.33,1.25,需评估具体场景
293,筛分,原料处理,1,2.66,3.33,1.25,需评估具体场景
294,零件加工,加工制造,1,2.66,3.33,1.25,需评估具体场景
295,收卷成盘,其他工序,1,2.66,3.33,1.25,需评估具体场景
296,注液,其他工序,1,2.5,5.0,2.0,需评估具体场景
297,原料称配,原料处理,1,2.47,4.33,1.75,需评估具体场景
298,包装码垛,包装成品,1,2.47,4.33,1.75,需评估具体场景
299,脱水脱硫,环保安全,1,2.47,4.33,1.75,需评估具体场景
300,电镀处理,其他工序,1,2.47,4.33,1.75,需评估具体场景
301,初沉池,其他工序,1,2.47,4.33,1.75,需评估具体场景
302,成品包装,包装成品,1,2.45,3.67,1.5,需评估具体场景
303,件箱包装,包装成品,1,2.45,3.67,1.5,需评估具体场景
304,卷取,其他工序,1,2.45,3.67,1.5,需评估具体场景
305,精分选分级,其他工序,1,2.45,3.67,1.5,需评估具体场景
306,锯材堆垛,其他工序,1,2.45,3.67,1.5,需评估具体场景
307,UV涂装,其他工序,1,2.45,3.67,1.5,需评估具体场景
308,称重检测,检测质控,1,2.45,3.67,1.5,需评估具体场景
309,剥离作业,其他工序,1,2.45,3.67,1.5,需评估具体场景
310,外观分拣,其他工序,1,2.45,3.67,1.5,需评估具体场景
311,包装称重,包装成品,1,2.45,3.67,1.5,需评估具体场景
312,筛分包装,原料处理,1,2.45,3.67,1.5,需评估具体场景
313,计数包装,包装成品,1,2.45,3.67,1.5,需评估具体场景
314,下料切割,其他工序,1,2.45,3.67,1.5,需评估具体场景
315,辐照后检测,检测质控,1,2.45,3.67,1.5,需评估具体场景
316,重新校准,其他工序,1,2.45,3.67,1.5,需评估具体场景
317,拆解分解,其他工序,1,2.45,3.67,1.5,需评估具体场景
318,精梳制条,其他工序,1,2.4,3.0,1.25,需评估具体场景
319,缝制成型,加工制造,1,2.4,3.0,1.25,需评估具体场景
320,水洗脱脂,其他工序,1,2.4,3.0,1.25,需评估具体场景
321,绷帮贴底,其他工序,1,2.4,3.0,1.25,需评估具体场景
322,成品上架,其他工序,1,2.4,3.0,1.25,需评估具体场景
323,测试分选,检测质控,1,2.4,3.0,1.25,需评估具体场景
324,暗室测试,检测质控,1,2.4,3.0,1.25,需评估具体场景
325,编织成型,加工制造,2,2.36,5.0,2.12,需评估具体场景
326,罐装,其他工序,1,2.33,4.67,2.0,需评估具体场景
327,分段涂装,其他工序,1,2.33,4.67,2.0,需评估具体场景
328,开关操作,其他工序,1,2.33,4.67,2.0,需评估具体场景
329,细纱,其他工序,1,2.29,4.0,1.75,需评估具体场景
330,鞋帮裁断,其他工序,1,2.29,4.0,1.75,需评估具体场景
331,热压固化,其他工序,1,2.29,4.0,1.75,需评估具体场景
332,漂白,其他工序,1,2.29,4.0,1.75,需评估具体场景
333,拧紧紧固,其他工序,1,2.29,4.0,1.75,需评估具体场景
334,制剂配制,其他工序,1,2.29,4.0,1.75,需评估具体场景
335,化学合成,加工制造,1,2.29,4.0,1.75,需评估具体场景
336,放射性分选,其他工序,1,2.29,4.0,1.75,需评估具体场景
337,井下物料运输,其他工序,1,2.29,4.0,1.75,需评估具体场景
338,混合,其他工序,1,2.29,4.0,1.75,需评估具体场景
339,底漆喷涂,其他工序,1,2.29,4.0,1.75,需评估具体场景
340,配送,仓储物流,1,2.29,4.0,1.75,需评估具体场景
341,舱室清理,其他工序,1,2.29,4.0,1.75,需评估具体场景
342,出水,其他工序,1,2.29,4.0,1.75,需评估具体场景
343,原料验收,原料处理,1,2.22,3.33,1.5,需评估具体场景
344,配对分装,其他工序,1,2.22,3.33,1.5,需评估具体场景
345,干燥,其他工序,1,2.22,3.33,1.5,需评估具体场景
346,选皮配皮,其他工序,1,2.22,3.33,1.5,需评估具体场景
347,蒸煮软化,其他工序,1,2.22,3.33,1.5,需评估具体场景
348,检测打包,检测质控,1,2.22,3.33,1.5,需评估具体场景
349,切割下料,其他工序,1,2.22,3.33,1.5,需评估具体场景
350,开料裁切,其他工序,1,2.22,3.33,1.5,需评估具体场景
351,洗涤,其他工序,1,2.22,3.33,1.5,需评估具体场景
352,分拣摆盘,其他工序,1,2.22,3.33,1.5,需评估具体场景
353,充气封口,其他工序,1,2.22,3.33,1.5,需评估具体场景
354,电气接线,其他工序,1,2.22,3.33,1.5,需评估具体场景
355,装箱码垛,包装成品,1,2.22,3.33,1.5,需评估具体场景
356,附件装配,加工制造,1,2.22,3.33,1.5,需评估具体场景
357,调试适配,其他工序,1,2.22,3.33,1.5,需评估具体场景
358,调试优化,其他工序,1,2.22,3.33,1.5,需评估具体场景
359,涂胶密封,其他工序,1,2.22,3.33,1.5,需评估具体场景
360,物料入库,仓储物流,1,2.22,3.33,1.5,需评估具体场景
361,贴底粘合,其他工序,1,2.17,4.33,2.0,需评估具体场景
362,喷涂,其他工序,1,2.17,4.33,2.0,需评估具体场景
363,气化,其他工序,1,2.17,4.33,2.0,需评估具体场景
364,阴极铜剥离,其他工序,1,2.17,4.33,2.0,需评估具体场景
365,合金添加,其他工序,1,2.17,4.33,2.0,需评估具体场景
366,钻孔爆破,其他工序,1,2.17,4.33,2.0,需评估具体场景
367,烘烤,其他工序,1,2.17,4.33,2.0,需评估具体场景
368,清砂打磨,其他工序,1,2.17,4.33,2.0,需评估具体场景
369,抽真空充氟,其他工序,1,2.17,4.33,2.0,需评估具体场景
370,二次接线,其他工序,1,2.17,4.33,2.0,需评估具体场景
371,气密测试,检测质控,1,2.17,4.33,2.0,需评估具体场景
372,称量充绒,其他工序,1,2.1,3.67,1.75,需评估具体场景
373,真空加压浸渍,其他工序,1,2.1,3.67,1.75,需评估具体场景
374,炭化烧制,其他工序,1,2.1,3.67,1.75,需评估具体场景
375,浆料储存,仓储物流,1,2.1,3.67,1.75,需评估具体场景
376,裁切,其他工序,1,2.1,3.67,1.75,需评估具体场景
377,破碎,原料处理,1,2.1,3.67,1.75,需评估具体场景
378,配制稀释,其他工序,1,2.1,3.67,1.75,需评估具体场景
379,净选分拣,其他工序,1,2.1,3.67,1.75,需评估具体场景
380,裁切成型,加工制造,1,2.1,3.67,1.75,需评估具体场景
381,粉碎过筛,原料处理,1,2.1,3.67,1.75,需评估具体场景
382,切断打包,包装成品,1,2.1,3.67,1.75,需评估具体场景
383,加热,其他工序,1,2.1,3.67,1.75,需评估具体场景
384,铸锭,其他工序,1,2.1,3.67,1.75,需评估具体场景
385,剪切,其他工序,1,2.1,3.67,1.75,需评估具体场景
386,地质勘探,其他工序,1,2.1,3.67,1.75,需评估具体场景
387,分级包装,包装成品,1,2.1,3.67,1.75,需评估具体场景
388,铲装运输,其他工序,1,2.1,3.67,1.75,需评估具体场景
389,选矿加工,加工制造,1,2.1,3.67,1.75,需评估具体场景
390,零部件制造,加工制造,1,2.1,3.67,1.75,需评估具体场景
391,铁芯叠装,其他工序,1,2.1,3.67,1.75,需评估具体场景
392,药剂配制,其他工序,1,2.1,3.67,1.75,需评估具体场景
393,仓储,仓储物流,1,2.1,3.67,1.75,需评估具体场景
394,管网配水,其他工序,1,2.1,3.67,1.75,需评估具体场景
395,索绪,其他工序,1,2.0,4.0,2.0,需评估具体场景
396,卷盘,其他工序,1,2.0,3.0,1.5,需评估具体场景
397,涂胶组坯,其他工序,1,2.0,4.0,2.0,需评估具体场景
398,折叠粘合,其他工序,1,2.0,4.0,2.0,需评估具体场景
399,制版CTP,其他工序,1,2.0,3.0,1.5,需评估具体场景
400,装配插装,加工制造,1,2.0,4.0,2.0,需评估具体场景
