l3_id,l3_name,l2_id,l2_name,l1_id,l1_name,scene_name_zh,scene_name_en,industry_code,industry_name,process_step,step_order,total_steps_in_scene,is_new_l3,human_description,duration_estimate,parallel_with,boundary_note,scene_id,source_file
L3-03-01-003,伸达-卡箍接头-管道连接处,L2-03-01,空载伸达,L1-03,上肢空间运动,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,15,32,True,伸手至卡箍接头位置,1-2,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-07-01-001,插入-扳手卡口配合-间隙1mm,L2-07-01,直线插入,L1-07,约束路径操作,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,16,32,True,将卡箍扳手卡口对准卡箍螺杆,2-4,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-06-01-001,工具旋拧-卡箍扳手-卫生级卡箍,L2-06-01,工具辅助旋拧,L1-06,旋转操作,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,17,32,True,逆时针旋转扳手松开卡箍螺杆,5-10,,[边界判定]使用专用卡箍扳手，属于工具辅助旋拧而非徒手旋拧,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-04-01-003,力握-卡箍环体-弧形截面,L2-04-01,力量抓握,L1-04,手部抓握操控,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,18,32,True,移开扳手，一只手握住卡箍环体,1-2,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-05-03-001,拉拔-卡箍环体-径向脱开,L2-05-03,拉拔抽取,L1-05,线性力施加,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,19,32,True,将卡箍从两段管口法兰处分离取下,2-4,,[边界判定]卡箍脱开不受严格几何约束引导，偏离直线不会卡死，归入L2-05-03而非L2-07-02,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-03-02-001,转移-卡箍-近距放置,L2-03-02,单臂负载转移,L1-03,上肢空间运动,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,20,32,True,将卡箍放置于一旁临时存放处,2-3,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-04-01-001,力握-软管-直径30至50mm,L2-04-01,力量抓握,L1-04,手部抓握操控,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,21,32,False,双手握住软管接头两侧,1-2,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-07-02-001,抽出-软管接头-法兰密封配合,L2-07-02,直线抽出,L1-07,约束路径操作,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,22,32,True,沿轴向拔出软管接头，使两端法兰分离,3-6,,[边界判定]软管接头与法兰为密封配合，偏斜会导致密封圈卡死，属于L2-07-02,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-03-02-002,转移-旧软管-近距放置,L2-03-02,单臂负载转移,L1-03,上肢空间运动,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,23,32,True,将拆下的软管放置于指定回收区,2-4,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-02-02-001,俯身-中度前屈-膝下高度,L2-02-02,弯腰俯身,L1-02,躯体姿态调整,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,24,32,True,弯腰拾取脚边预放的新软管,2-3,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-04-01-001,力握-软管-直径30至50mm,L2-04-01,力量抓握,L1-04,手部抓握操控,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,25,32,False,双手抓握新软管接头两端,1-2,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-02-02-002,俯身-起身恢复-站立姿态,L2-02-02,弯腰俯身,L1-02,躯体姿态调整,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,26,32,True,起身恢复站立姿态,1-2,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-03-05-001,定放-软管接头-法兰对中,L2-03-05,精确定点放置,L1-03,上肢空间运动,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,27,32,True,将新软管接头精确对准两端管口法兰,3-6,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-07-01-002,插入-软管接头-法兰密封配合,L2-07-01,直线插入,L1-07,约束路径操作,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,28,32,True,沿轴向推入软管接头，使两端法兰密封贴合,3-5,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-07-07-001,弹装-卡箍环-径向撑开套入,L2-07-07,弹性形变装配,L1-07,约束路径操作,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,29,32,True,取过卡箍，套在两端法兰凹槽外围,3-5,,[边界判定]卡箍需撑开后卡入法兰凹槽，涉及弹性形变,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-06-01-001,工具旋拧-卡箍扳手-卫生级卡箍,L2-06-01,工具辅助旋拧,L1-06,旋转操作,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,30,32,False,使用卡箍扳手顺时针旋紧螺杆至规定扭矩,8-15,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-06-03-002,阀操-截止阀手轮-全闭至全开,L2-06-03,阀门旋转操作,L1-06,旋转操作,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,31,32,True,逆时针旋转阀门手轮至全开位置,5-15,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-09-02-001,贴检-卡箍接口-密封泄漏检查,L2-09-02,近距贴近检视,L1-09,感知定位运动,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,32,32,True,目视检查接口密封状态及管路标识，确认连接正确无误,3-5,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-01-01-001,行走-防腐地坪-匀速,L2-01-01,平地直行,L1-01,全身位移,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,1,31,True,从待命位置走向工件存放区与挂具之间的操作工位,3-8,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-01-08-001,停位-双侧物料点-分米级,L2-01-08,精确停位,L1-01,全身位移,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,2,31,True,在工件存放区与挂具之间的最佳操作位置精确站定,1-2,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-02-04-001,转体-90度-向侧方,L2-02-04,躯干旋转,L1-02,躯体姿态调整,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,3,31,True,转动上半身朝向工件存放位置,0.5-1,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-09-01-001,注视-金属工件-位置确认,L2-09-01,视觉注视对准,L1-09,感知定位运动,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,4,31,True,目视确认待挂工件的具体位置和姿态,0.5-1,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-02-02-001,俯身-中度前屈-腰部高度,L2-02-02,弯腰俯身,L1-02,躯体姿态调整,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,5,31,True,弯腰降低身体以便够到低位存放的工件,1-2,,[边界判定]工件存放高度在腰部以下膝部以上，以髋关节屈曲为主，膝关节微屈，归入弯腰俯身而非下蹲,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-03-01-001,伸达-物料存放区-无障碍直线,L2-03-01,空载伸达,L1-03,上肢空间运动,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,6,31,True,伸出手臂到达工件所在位置,0.5-1,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-04-01-001,力握-不规则金属件-重量0.1至10kg,L2-04-01,力量抓握,L1-04,手部抓握操控,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,7,31,True,用全手包络抓住金属工件,0.5-1,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-02-02-002,俯身-恢复直立-负载状态,L2-02-02,弯腰俯身,L1-02,躯体姿态调整,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,8,31,True,恢复直立站姿,1-2,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-03-04-001,翻转-绕任意轴-调整挂孔朝向,L2-03-04,物体翻转调姿,L1-03,上肢空间运动,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,9,31,True,在臂部空间中调整工件朝向使挂孔朝向便于挂载的方位,1-2,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-02-04-002,转体-180度-换向,L2-02-04,躯干旋转,L1-02,躯体姿态调整,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,10,31,True,转动上半身朝向挂具方向,0.5-1,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-09-01-002,注视-挂具挂钩-空位确认,L2-09-01,视觉注视对准,L1-09,感知定位运动,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,11,31,True,目视确认挂具上的空闲挂钩位置,0.5-1,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-03-02-001,转移-金属工件-近距定位,L2-03-02,单臂负载转移,L1-03,上肢空间运动,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,12,31,True,将手中工件移动到目标挂钩正上方,1-2,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-07-01-001,插入-挂孔挂钩配合-间隙2至5mm,L2-07-01,直线插入,L1-07,约束路径操作,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,13,31,True,将工件挂孔对准挂钩并向下套入,1-3,,[边界判定]工件挂孔套入挂钩属于沿垂直方向的约束路径运动，挂孔与挂钩形成几何配合，偏离将导致无法挂入,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-09-02-001,贴检-挂钩接触点-电镀接触确认,L2-09-02,近距贴近检视,L1-09,感知定位运动,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,14,31,True,近距离目视检查工件与挂钩的接触是否良好,0.5-1,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-04-07-001,释放-渐进松指-物体已悬挂,L2-04-07,受控释放,L1-04,手部抓握操控,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,15,31,True,确认接触良好后松开手指释放工件,0.3-0.5,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-03-01-002,伸达-挂具推杆-无障碍直线,L2-03-01,空载伸达,L1-03,上肢空间运动,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,16,31,True,伸手到挂具的推拉杆位置,0.5-1,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-04-01-002,力握-圆柱形杆-直径20至40mm,L2-04-01,力量抓握,L1-04,手部抓握操控,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,17,31,True,用全手握住挂具推拉杆,0.3-0.5,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-07-04-001,滑移-电镀槽导轨-推入500至1500mm,L2-07-04,导轨滑移,L1-07,约束路径操作,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,18,31,True,沿导轨将满载挂具推入镀槽中,3-8,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-04-07-002,释放-快速松手-推杆固定,L2-04-07,受控释放,L1-04,手部抓握操控,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,19,31,True,松开推杆让挂具停留在镀槽内,0.3-0.5,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-03-01-003,伸达-镀槽内拉杆-跨越槽沿,L2-03-01,空载伸达,L1-03,上肢空间运动,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,20,31,True,电镀完成后伸手到镀槽内挂具拉杆位置,1-2,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-04-01-002,力握-圆柱形杆-直径20至40mm,L2-04-01,力量抓握,L1-04,手部抓握操控,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,21,31,False,握住挂具拉杆,0.3-0.5,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-07-04-002,滑移-电镀槽导轨-拉出500至1500mm,L2-07-04,导轨滑移,L1-07,约束路径操作,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,22,31,True,沿导轨将挂具从镀槽中拉出,3-8,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-04-07-002,释放-快速松手-推杆固定,L2-04-07,受控释放,L1-04,手部抓握操控,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,23,31,False,松开拉杆,0.3-0.5,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-09-01-003,注视-已镀工件-取件位置确认,L2-09-01,视觉注视对准,L1-09,感知定位运动,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,24,31,True,目视确认挂具上待取工件的位置,0.5-1,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-03-01-004,伸达-挂具工件位-避开相邻件,L2-03-01,空载伸达,L1-03,上肢空间运动,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,25,31,True,伸手到挂具上的工件位置,0.5-1,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-04-01-001,力握-不规则金属件-重量0.1至10kg,L2-04-01,力量抓握,L1-04,手部抓握操控,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,26,31,False,抓握住挂具上的已镀工件,0.5-1,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-07-02-001,抽出-挂孔挂钩配合-轻阻力,L2-07-02,直线抽出,L1-07,约束路径操作,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,27,31,True,将工件沿挂钩向上提起脱离挂钩,1-2,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-02-04-002,转体-180度-换向,L2-02-04,躯干旋转,L1-02,躯体姿态调整,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,28,31,False,转动上半身朝向周转筐方向,0.5-1,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-03-02-002,转移-已镀金属件-近距定位,L2-03-02,单臂负载转移,L1-03,上肢空间运动,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,29,31,True,将工件移动到周转筐上方,1-2,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-03-06-001,码放-行列排列-单层平铺,L2-03-06,规律排列码放,L1-03,上肢空间运动,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,30,31,True,按照规律排列将工件放入周转筐指定位置,1-2,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-04-07-003,释放-渐进松指-物体已支撑,L2-04-07,受控释放,L1-04,手部抓握操控,上下挂-金属件电镀-酸碱环境,LoadUnload-MetalPlating-AcidicAlkaline,33-336-3360,金属制品业,电镀处理,31,31,True,松开手指释放工件到周转筐中,0.3-0.5,,,33-336-3360,l3_上下挂-金属件电镀-酸碱环境.json
L3-01-01-001,行走-工业地坪-中速,L2-01-01,平地直行,L1-01,全身位移,上料投放-生物质破碎机-秸秆废料进料,MaterialFeeding-BiomassCrusher-StrawWasteInfeed,25-254-2541,石油、煤炭及其他燃料加工业,破碎,1,18,True,从待机位置沿车间通道直线行走至原料堆旁,5-15,,,25-254-2541,l3_上料投放-生物质破碎机-秸秆废料进料.json
L3-01-08-001,停位-物料堆旁-分米级,L2-01-08,精确停位,L1-01,全身位移,上料投放-生物质破碎机-秸秆废料进料,MaterialFeeding-BiomassCrusher-StrawWasteInfeed,25-254-2541,石油、煤炭及其他燃料加工业,破碎,2,18,True,在原料堆旁的取料位置调整站位,1-2,,,25-254-2541,l3_上料投放-生物质破碎机-秸秆废料进料.json
L3-09-01-001,注视-散料堆-取料点选择,L2-09-01,视觉注视对准,L1-09,感知定位运动,上料投放-生物质破碎机-秸秆废料进料,MaterialFeeding-BiomassCrusher-StrawWasteInfeed,25-254-2541,石油、煤炭及其他燃料加工业,破碎,3,18,True,视觉扫视原料堆选择适合抓取的秸秆/木屑位置,1-3,,,25-254-2541,l3_上料投放-生物质破碎机-秸秆废料进料.json
L3-04-03-001,工具握持-长柄叉-铲叉功能姿,L2-04-03,工具功能握持,L1-04,手部抓握操控,上料投放-生物质破碎机-秸秆废料进料,MaterialFeeding-BiomassCrusher-StrawWasteInfeed,25-254-2541,石油、煤炭及其他燃料加工业,破碎,4,18,True,以功能性握姿双手握持叉子手柄,1-2,,,25-254-2541,l3_上料投放-生物质破碎机-秸秆废料进料.json
L3-02-02-001,俯身-深度前屈-地面高度,L2-02-02,弯腰俯身,L1-02,躯体姿态调整,上料投放-生物质破碎机-秸秆废料进料,MaterialFeeding-BiomassCrusher-StrawWasteInfeed,25-254-2541,石油、煤炭及其他燃料加工业,破碎,5,18,True,弯腰俯身使叉子能够接触地面或低位原料堆,1-2,,,25-254-2541,l3_上料投放-生物质破碎机-秸秆废料进料.json
L3-03-03-001,协搬-长柄工具-轻载前伸,L2-03-03,双臂协调搬运,L1-03,上肢空间运动,上料投放-生物质破碎机-秸秆废料进料,MaterialFeeding-BiomassCrusher-StrawWasteInfeed,25-254-2541,石油、煤炭及其他燃料加工业,破碎,6,18,True,将持握的叉子向前伸向目标原料处,1-2,,[边界判定]双手握持长柄叉子进行协调移动，虽叉子本身较轻但因双手操作归入双臂协调搬运,25-254-2541,l3_上料投放-生物质破碎机-秸秆废料进料.json
L3-07-01-001,插入-叉齿入散料堆-松散无约束,L2-07-01,直线插入,L1-07,约束路径操作,上料投放-生物质破碎机-秸秆废料进料,MaterialFeeding-BiomassCrusher-StrawWasteInfeed,25-254-2541,石油、煤炭及其他燃料加工业,破碎,7,18,True,将叉子齿端插入秸秆或木屑堆中,1-2,,[边界判定]叉齿插入松散物料堆，虽配合间隙大但仍需沿直线方向推进，归入直线插入而非持续推压,25-254-2541,l3_上料投放-生物质破碎机-秸秆废料进料.json
L3-03-03-002,协搬-叉载散料-中载抬升,L2-03-03,双臂协调搬运,L1-03,上肢空间运动,上料投放-生物质破碎机-秸秆废料进料,MaterialFeeding-BiomassCrusher-StrawWasteInfeed,25-254-2541,石油、煤炭及其他燃料加工业,破碎,8,18,True,用叉子向上挑起一叉秸秆或木屑物料,2-3,,,25-254-2541,l3_上料投放-生物质破碎机-秸秆废料进料.json
L3-02-02-002,俯身-负载起身-恢复直立,L2-02-02,弯腰俯身,L1-02,躯体姿态调整,上料投放-生物质破碎机-秸秆废料进料,MaterialFeeding-BiomassCrusher-StrawWasteInfeed,25-254-2541,石油、煤炭及其他燃料加工业,破碎,9,18,True,从弯腰状态恢复直立站姿,1-2,,,25-254-2541,l3_上料投放-生物质破碎机-秸秆废料进料.json
L3-02-04-001,转体-90至180度-负载状态,L2-02-04,躯干旋转,L1-02,躯体姿态调整,上料投放-生物质破碎机-秸秆废料进料,MaterialFeeding-BiomassCrusher-StrawWasteInfeed,25-254-2541,石油、煤炭及其他燃料加工业,破碎,10,18,True,站在原地转体面向破碎机进料口方向,1-2,,,25-254-2541,l3_上料投放-生物质破碎机-秸秆废料进料.json
L3-01-07-001,负载行走-长柄工具载物-双臂前持,L2-01-07,负载行走,L1-01,全身位移,上料投放-生物质破碎机-秸秆废料进料,MaterialFeeding-BiomassCrusher-StrawWasteInfeed,25-254-2541,石油、煤炭及其他燃料加工业,破碎,11,18,True,持叉负载状态下行走至破碎机进料口旁,3-8,,,25-254-2541,l3_上料投放-生物质破碎机-秸秆废料进料.json
